cod_ibge,qnt_produzida,uf
2101400,35086,MA
2112001,73425,MA
3104502,12,MG
3170404,11700,MG
3170479,2700,MG
3108552,6630,MG
3137536,3330,MG
3147006,4992,MG
3153400,8483,MG
3161700,4000,MG
3170750,2064,MG
3171006,3400,MG
3140852,6,MG
3115474,135,MG
3124302,32,MG
3127339,8,MG
3141009,144,MG
3142908,50,MG
3146552,16,MG
3152204,24,MG
3155603,8,MG
3109402,3774,MG
3129608,1162,MG
3138104,270,MG
3164209,10296,MG
3134202,877,MG
3142809,1836,MG
3119302,17156,MG
3120706,1750,MG
3148103,5460,MG
3166808,3040,MG
3148004,3744,MG
3100708,576,MG
3120904,600,MG
5101902,27644,MT
5106216,1320,MT
5108055,4060,MT
5102637,434989,MT
5102686,242195,MT
5103304,19926,MT
5103502,246205,MT
5107875,910280,MT
5108907,12000,MT
5106802,29768,MT
5107305,59189,MT
5107941,28569,MT
5104526,80574,MT
5104542,7080,MT
5105259,163105,MT
5106224,72435,MT
5106240,69472,MT
5107768,59701,MT
5107925,149678,MT
5108006,124213,MT
5107909,16690,MT
5108303,23288,MT
5108501,4203,MT
5103858,4412,MT
5106307,58139,MT
5101852,12528,MT
5107180,19470,MT
5107859,15788,MT
5107883,304,MT
5100201,1956,MT
5102702,39716,MT
5106257,11311,MT
5106281,59390,MT
5107065,56309,MT
5107792,72170,MT
5107958,81383,MT
5106000,13912,MT
5108857,1209,MT
5107263,524,MT
5107701,2450,MT
5103007,23415,MT
5107800,11452,MT
5102678,270563,MT
5107040,144413,MT
5103908,19456,MT
5104203,18007,MT
5107008,31275,MT
5108204,4770,MT
5103601,73913,MT
5104609,18231,MT
5104807,31557,MT
5105200,9188,MT
5106372,64908,MT
5107602,7212,MT
5100300,4336,MT
5100409,17609,MT
5100607,11134,MT
5000252,1125,MS
5002704,1931,MS
5002951,30630,MS
5003256,64143,MS
5006275,1673,MS
5001243,401,MS
2502003,1,PB
2502805,2,PB
2502904,5,PB
2504306,4,PB
2513901,6,PB
2500700,60,PB
2514503,14,PB
2516904,2,PB
2500775,114,PB
2509156,146,PB
2512101,8,PB
2513984,3,PB
2516201,1275,PB
2517209,8,PB
2508703,1,PB
2514404,8,PB
2500205,12,PB
2504207,5,PB
2510402,1,PB
2511301,1,PB
2513604,8,PB
2505303,2,PB
2505600,2,PB
2507002,10,PB
2514305,3,PB
2512309,1,PB
2516607,1,PB
2500734,2,PB
2504850,2,PB
2508505,7,PB
2509701,1,PB
2510600,2,PB
2510659,1,PB
2512200,22,PB
2514800,1,PB
2515203,1,PB
2516508,4,PB
2512705,24,PB
2501005,5,PB
2503506,10,PB
2516409,180,PB
2500502,6,PB
2503605,2,PB
2508554,4,PB
2506806,9,PB
2506905,6,PB
2507606,12,PB
2513109,10,PB
4123303,114,PR
4126504,29,PR
4109807,60,PR
4113700,3,PR
4122404,25,PR
2607307,4,PE
2612455,2,PE
2609303,20,PE
2600104,8,PE
2613909,20,PE
2605806,13,PE
2201150,1350,PI
2211209,29319,PI
2201309,3150,PI
2202901,5916,PI
2200277,9,PI
2201739,4,PI
2202091,69,PI
2202554,159,PI
2203271,45,PI
2204154,13,PI
2205953,3,PI
2206050,1,PI
2207207,22,PI
2207801,33,PI
2209658,2,PI
2210706,59,PI
2700102,4,AL
2701605,14,AL
2705002,36,AL
2706422,3,AL
2707107,2,AL
2708402,7,AL
2700201,2300,AL
2706703,225,AL
2404903,12,RN
2413607,7,RN
2406908,4,RN
2414407,1000,RN
3510708,2898,SP
3512902,135,SP
3544202,840,SP
3536604,1083,SP
3521804,4320,SP
3535804,517,SP
3526704,370,SP
3546207,670,SP
3539301,1913,SP
3530706,888,SP
3535408,113,SP
3516002,130,SP
3543808,300,SP
3529203,2360,SP
3544251,323,SP
3522406,2250,SP
1721109,3069,TO
1707009,3000,TO
2902500,10610,BA
2903201,102757,BA
2911105,191605,BA
2919553,53785,BA
2926202,74240,BA
2928901,483335,BA
2933455,4983,BA
2908101,26170,BA
2909307,170400,BA
2917359,53360,BA
2928208,2155,BA
2915353,8,BA
2922250,767,BA
2903904,654,BA
2907103,127,BA
2930154,4027,BA
2919504,55,BA
2906600,212,BA
2911709,135,BA
2917334,3240,BA
2918753,53,BA
2920205,5700,BA
2923407,1800,BA
2924504,192,BA
2930006,120,BA
2932606,33,BA
2902005,60,BA
2904605,30,BA
2917201,15,BA
2920304,28,BA
2931004,25,BA
2920403,1,BA
2306108,1,CE
2312205,9,CE
2300903,8,CE
2302800,5,CE
2310407,1,CE
2304103,11,CE
2305605,4,CE
2308609,2,CE
2309300,2,CE
2309409,1,CE
2313203,3,CE
2302404,32,CE
2303931,6,CE
2305266,2,CE
2307635,6,CE
2311306,44,CE
2311405,82,CE
2303600,11,CE
2310308,7,CE
2311900,16,CE
2313302,14,CE
2300309,130,CE
2308351,8,CE
2308500,68,CE
2310902,2,CE
2312700,24,CE
2305332,65,CE
2307007,90,CE
2311504,2288,CE
2313104,2250,CE
2306009,3,CE
2305407,1,CE
2305506,32,CE
2314003,6,CE
2302008,34,CE
2308104,148,CE
2308401,73,CE
2300101,46,CE
2302503,105,CE
2308302,192,CE
2310605,12,CE
5206206,26119,GO
5212501,15787,GO
5204409,5400,GO
5205471,41000,GO
5211909,3320,GO
5213103,7800,GO
5213756,11583,GO
5216452,6150,GO
5218805,5680,GO
5205455,858,GO
5209952,1170,GO
5215702,1151,GO
5221551,4630,GO
5209101,4050,GO
5213806,3442,GO
5217104,700,GO
