cod_ibge,qnt_produzida,uf
1200435,60,AC
1200179,30,AC
1200385,18,AC
1200807,5,AC
1200450,9,AC
2106359,12,MA
2108504,29,MA
2109908,24,MA
2100055,10,MA
2103257,7,MA
2105302,4,MA
2105427,11,MA
2105500,8,MA
2110856,17,MA
2111532,8,MA
2112852,6,MA
2104602,110,MA
2104057,4,MA
2109007,6,MA
3109303,1,MG
3116159,2,MG
3130051,12,MG
3127339,2,MG
3145059,1,MG
3146552,4,MG
3152204,2,MG
3101003,1,MG
3120870,6,MG
3127073,4,MG
3130655,2,MG
3156502,2,MG
3157005,15,MG
3168002,8,MG
3108602,3,MG
3111150,4,MG
3116506,1,MG
3118809,1,MG
3126703,24,MG
3147956,2,MG
3162252,1,MG
3162658,2,MG
3170008,2,MG
3108503,4,MG
3120300,10,MG
3127800,12,MG
3132008,7,MG
3136579,1,MG
3146255,1,MG
3107307,6,MG
3128253,2,MG
3145455,2,MG
3121605,6,MG
3125408,8,MG
3165909,3,MG
3102852,13,MG
3104452,33,MG
3106507,8,MG
3112307,21,MG
3113503,4,MG
3116100,5,MG
3126505,1,MG
3132503,7,MG
3135456,2,MG
3136520,6,MG
3138351,3,MG
3141801,23,MG
3169703,11,MG
3171071,18,MG
3103405,10,MG
3113008,5,MG
3145307,45,MG
3146305,2,MG
3171600,2,MG
3102704,2,MG
3141405,1,MG
3104700,1,MG
3126752,3,MG
3126802,3,MG
3137007,24,MG
3139201,5,MG
3152402,10,MG
3165552,4,MG
3119302,10,MG
3148103,42,MG
3114303,1,MG
3114550,1337,MG
3127008,600,MG
3127107,9000,MG
3134400,1863,MG
3138625,5454,MG
3161304,1795,MG
3170438,375,MG
3105004,1,MG
3134608,1,MG
3149606,4,MG
3159001,4,MG
3117504,2,MG
3147501,3,MG
3156007,1,MG
3106705,4,MG
3109006,1,MG
3110004,2,MG
3140704,5,MG
3102308,4,MG
3121803,2,MG
3125903,3,MG
3131703,3,MG
3155702,1,MG
3157203,1,MG
3108107,22,MG
3120607,34,MG
3132206,12,MG
3150406,3,MG
3121704,1,MG
3140001,2,MG
3108800,3,MG
3123106,4,MG
3128006,2,MG
3156809,4,MG
3100609,5,MG
3136553,1,MG
3148608,9,MG
3158201,3,MG
3164506,2,MG
3119203,3,MG
3132701,2,MG
3167707,5,MG
3171907,3,MG
3131802,3,MG
3139607,6,MG
3141504,4,MG
3144672,1,MG
3100500,7,MG
3103009,2,MG
3106309,7,MG
3136108,5,MG
3141702,10,MG
3107802,13,MG
3113404,11,MG
3123858,7,MG
3129301,2,MG
3130903,8,MG
3150539,3,MG
3168408,5,MG
3170057,7,MG
3144003,3,MG
3147709,2,MG
3150604,15,MG
3107109,2,MG
3100401,2,MG
3128204,5,MG
3135506,1,MG
3155009,3,MG
3137700,1,MG
3157906,2,MG
3167608,3,MG
3102100,2,MG
3110202,2,MG
3116308,4,MG
3124005,6,MG
3150802,15,MG
3153103,18,MG
3155207,15,MG
3124203,6,MG
3143906,5,MG
3145877,1,MG
3172004,1,MG
5101407,5,MT
5103379,9,MT
5105150,14,MT
5103502,37,MT
5107792,1505,MT
5101704,435,MT
5106232,8,MT
5100300,27,MT
5008008,50,MS
5002902,2850,MS
5001003,646,MS
5006309,950,MS
5007554,298,MS
5006200,1125,MS
5007976,52,MS
5000856,1100,MS
5004700,1100,MS
1504802,11,PA
1501006,15,PA
1503606,4,PA
1505031,3,PA
1500602,4,PA
1505486,5,PA
1501576,7,PA
1502939,8,PA
1508126,47,PA
2509602,3,PB
2512705,2,PB
2503803,1,PB
2506905,100,PB
2509404,64,PB
2507309,1,PB
2511509,2,PB
2512762,12,PB
2514453,40,PB
2515005,12,PB
2515302,4,PB
2515971,31,PB
2504603,5,PB
2511202,7,PB
4100608,1337,PR
4115002,4,PR
4118006,3,PR
4118402,1297,PR
4123956,83,PR
4124905,632,PR
4127304,2,PR
4100707,89,PR
4105508,42,PR
4109104,2,PR
4110409,4,PR
4113007,2,PR
4125555,4,PR
4103008,2,PR
4103909,4,PR
4108601,2,PR
4112207,4,PR
4112959,2,PR
4116109,2,PR
4116802,2,PR
4101705,9,PR
4102505,14,PR
4104303,8,PR
4107504,2,PR
4107553,5,PR
4107702,2,PR
4110805,3,PR
4114005,4,PR
4118808,10,PR
4121109,2,PR
4122503,2,PR
4127205,20,PR
4102109,4,PR
4102208,4,PR
4105102,2,PR
4108106,2,PR
4111902,6,PR
4114104,10,PR
4100806,4,PR
4107306,1,PR
4125308,5,PR
4114203,6,PR
4114807,1,PR
4117503,1,PR
4126256,2,PR
4101408,6,PR
4101507,2,PR
4103503,6,PR
4103800,5,PR
4112108,5,PR
4114906,6,PR
4115754,5,PR
4103701,61,PR
4113700,40,PR
4119657,12,PR
4126678,20,PR
4103206,2,PR
4103305,2,PR
4115507,13,PR
4122107,8,PR
4101655,2,PR
4101853,2,PR
4104402,2,PR
4108551,2,PR
4108700,2,PR
4111506,2,PR
4112504,2,PR
4113429,2,PR
4113759,2,PR
4114500,5,PR
4117271,6,PR
4122172,4,PR
4122651,2,PR
4112702,2,PR
4100103,1,PR
4101101,2,PR
4121901,3,PR
4102703,2,PR
4103602,2,PR
4111803,4,PR
4112900,4,PR
4121802,4,PR
4124103,4,PR
4107009,5,PR
4107751,6,PR
4109708,8,PR
4111704,4,PR
4112306,5,PR
4119202,6,PR
4104709,5,PR
4109005,2,PR
4112801,4,PR
4120705,2,PR
4122909,4,PR
4124004,7,PR
4126603,2,PR
4127809,6,PR
4128500,5,PR
4107157,10,PR
4107538,4,PR
4108205,4,PR
4108809,4,PR
4112751,25,PR
4115853,2,PR
4117222,10,PR
4117909,20,PR
4118451,3,PR
4120853,4,PR
4123501,6,PR
4125456,6,PR
4125753,20,PR
4127957,150,PR
4101051,7,PR
4103057,7,PR
4103354,2,PR
4104055,9,PR
4104600,2,PR
4104808,47,PR
4105003,10,PR
4106308,4,PR
4107124,1,PR
4109302,2,PR
4109757,2,PR
4110052,2,PR
4113452,4,PR
4123824,14,PR
4124020,4,PR
4127858,9,PR
4105300,4,PR
4108304,3,PR
4115606,2,PR
4115804,2,PR
4116059,3,PR
4121257,4,PR
4124053,2,PR
4125704,4,PR
4126355,2,PR
4128559,10,PR
4101002,12,PR
4102752,9,PR
4104501,34,PR
4119004,10,PR
4119806,10,PR
4120358,9,PR
4121406,4,PR
4123808,6,PR
4102604,9,PR
4103024,2,PR
4103156,9,PR
4106571,4,PR
4107207,9,PR
4107405,9,PR
4107850,9,PR
4108403,32,PR
4114351,9,PR
4115408,11,PR
4116950,5,PR
4117255,6,PR
4119251,7,PR
4121604,9,PR
4122800,9,PR
4123006,5,PR
4124400,9,PR
4125209,9,PR
4128609,5,PR
4105409,5,PR
4106506,6,PR
4111209,2,PR
4115309,5,PR
4118501,3,PR
4124806,4,PR
4126272,3,PR
4126652,3,PR
4128708,2,PR
4115739,2,PR
4119608,4,PR
4123857,1,PR
4103958,2,PR
4104428,3,PR
4104451,3,PR
4107546,1,PR
4108452,2,PR
4108650,2,PR
4109401,6,PR
4113304,10,PR
4115457,1,PR
4117057,3,PR
4119301,6,PR
4120150,1,PR
4120903,6,PR
4121752,1,PR
4122156,9,PR
4127965,3,PR
4128658,1,PR
4105706,1,PR
4106456,1,PR
4109658,1,PR
4114401,1,PR
4117602,1,PR
4120606,11,PR
4113908,10,PR
4122008,50,PR
4102901,2,PR
4106803,2,PR
4108502,1,PR
4118600,1,PR
4118709,1,PR
4120309,1,PR
4128203,1,PR
4101309,2,PR
4125605,2,PR
4128633,2,PR
2611002,75,PE
2614808,3,PE
2205102,12,PI
2209302,2,PI
2204154,3,PI
2207207,14,PI
2709004,32,AL
2700300,186,AL
2701506,50,AL
2702009,4,AL
2702355,6,AL
2702603,479,AL
2704203,618,AL
2708808,1275,AL
2709103,800,AL
2705903,41,AL
2708105,8,AL
2709301,120,AL
2700409,32,AL
2701100,8,AL
2701308,4,AL
2701704,3,AL
2705606,2,AL
2700201,90,AL
2701001,429,AL
2701407,132,AL
2702306,48,AL
2703759,76,AL
2704005,428,AL
2707800,2,AL
2708600,2,AL
2709152,145,AL
2702702,7,AL
2703205,58,AL
