cod_ibge,uf,qnt_produzida
11001,RO,4980.0
11002,RO,220.0
11003,RO,2828.0
11004,RO,6423.0
11005,RO,194.0
11006,RO,5090.0
11007,RO,893.0
11008,RO,10015.0
12001,AC,3269.0
12002,AC,1450.0
12003,AC,1043.0
12004,AC,4270.0
12005,AC,1790.0
13003,AM,1038.0
13004,AM,11472.0
13006,AM,210.0
13008,AM,290000.0
13010,AM,1888.0
13013,AM,755.0
14001,RR,540.0
14002,RR,615.0
14004,RR,1135.0
15001,PA,852.0
15002,PA,1796.0
15003,PA,1074.0
15004,PA,188.0
15005,PA,84.0
15007,PA,200.0
15010,PA,3900.0
15011,PA,3400.0
15014,PA,2190.0
15015,PA,2640.0
15017,PA,997620.0
15021,PA,300.0
16001,AP,497.0
16002,AP,4765.0
16003,AP,3939.0
16004,AP,1124.0
17001,TO,441.0
17002,TO,2476.0
17003,TO,146968.0
17004,TO,9359.0
17005,TO,3260.0
17006,TO,2867729.0
17007,TO,440.0
17008,TO,16040.0
21001,MA,4050.0
21003,MA,434.0
21004,MA,520.0
21005,MA,3677.0
21006,MA,403.0
21007,MA,220.0
21009,MA,165806.0
21010,MA,2581.0
21011,MA,47418.0
21012,MA,1991.0
21013,MA,3809.0
21014,MA,7758.0
21015,MA,59861.0
21016,MA,580019.0
21017,MA,206247.0
21018,MA,32259.0
21019,MA,428120.0
21020,MA,718.0
21021,MA,1292196.0
22001,PI,29248.0
22002,PI,2232.0
22003,PI,908132.0
22004,PI,10256.0
22005,PI,10724.0
22006,PI,9280.0
22007,PI,4954.0
22008,PI,220.0
22009,PI,1368.0
22010,PI,20950.0
22011,PI,575.0
22012,PI,1450.0
22013,PI,3075.0
23001,CE,851.0
23002,CE,388640.0
23003,CE,1219.0
23004,CE,1006.0
23005,CE,516.0
23006,CE,4758.0
23007,CE,4269.0
23008,CE,4326.0
23009,CE,12200.0
23010,CE,1815.0
23011,CE,238.0
23012,CE,933.0
23013,CE,12815.0
23014,CE,781.0
23015,CE,65401.0
23016,CE,22009.0
23017,CE,4620.0
23018,CE,814.0
23019,CE,122.0
23020,CE,1200.0
23021,CE,10299.0
23022,CE,444.0
23024,CE,180.0
23025,CE,560.0
23026,CE,1031.0
23027,CE,1084.0
23028,CE,8505.0
23029,CE,31.0
23030,CE,1350.0
23031,CE,2646.0
23032,CE,32433.0
23033,CE,1013.0
24004,RN,102.0
24005,RN,2180.0
24006,RN,1045.0
24007,RN,1940.0
24015,RN,49234.0
24016,RN,428080.0
24017,RN,592727.0
24019,RN,2837857.0
25002,PB,2150.0
25003,PB,4450.0
25004,PB,280.0
25005,PB,1152.0
25006,PB,2986.0
25007,PB,3649.0
25010,PB,60.0
25011,PB,120.0
25013,PB,700.0
25015,PB,146400.0
25016,PB,53360.0
25018,PB,13500.0
25020,PB,1867550.0
25021,PB,1373725.0
25022,PB,894300.0
25023,PB,1309250.0
26001,PE,120.0
26003,PE,23339.0
26005,PE,5960.0
26006,PE,340.0
26008,PE,675.0
26010,PE,96812.0
26011,PE,5000.0
26012,PE,29500.0
26013,PE,4659654.0
26014,PE,557643.0
26015,PE,5686173.0
26016,PE,660060.0
26017,PE,986320.0
26018,PE,2115000.0
27001,AL,2275.0
27005,AL,2371.0
27006,AL,274041.0
27008,AL,835277.0
27009,AL,3233274.0
27010,AL,589192.0
27011,AL,2368681.0
27012,AL,6727769.0
27013,AL,1260683.0
28003,SE,98569.0
28004,SE,75411.0
28007,SE,129997.0
28008,SE,329719.0
28009,SE,592344.0
28010,SE,780634.0
28011,SE,40060.0
28013,SE,11200.0
29001,BA,9150.0
29002,BA,8303.0
29003,BA,35300.0
29004,BA,2587600.0
29006,BA,3560.0
29007,BA,980.0
29008,BA,442.0
29009,BA,3360.0
29010,BA,300.0
29011,BA,6.0
29012,BA,10.0
29015,BA,400.0
29017,BA,130.0
29019,BA,896.0
29020,BA,4806.0
29021,BA,771.0
29022,BA,9705.0
29023,BA,35877.0
29024,BA,3321.0
29025,BA,7670.0
29026,BA,17755.0
29027,BA,6379.0
29028,BA,7481.0
29029,BA,13624.0
29030,BA,660.0
29031,BA,8305.0
29032,BA,2682848.0
31001,MG,2385605.0
31002,MG,5347141.0
31003,MG,94074.0
31004,MG,978005.0
31005,MG,108993.0
31006,MG,47189.0
31007,MG,155622.0
31008,MG,11118.0
31009,MG,27970.0
31010,MG,36530.0
31011,MG,70758.0
31012,MG,43305.0
31013,MG,11650.0
31014,MG,16665.0
31015,MG,51408.0
31016,MG,202176.0
31017,MG,6582160.0
31018,MG,5947491.0
31019,MG,6579.0
31020,MG,30066.0
31021,MG,19539704.0
31022,MG,20440647.0
31023,MG,5449700.0
31024,MG,1108271.0
31025,MG,124387.0
31026,MG,2801672.0
31027,MG,52697.0
31028,MG,58661.0
31029,MG,17168.0
31030,MG,23885.0
31031,MG,143332.0
31032,MG,53874.0
31033,MG,7048.0
31034,MG,21382.0
31035,MG,63367.0
31036,MG,34856.0
31037,MG,45469.0
31038,MG,12470.0
31039,MG,22165.0
31040,MG,36086.0
31041,MG,34233.0
31042,MG,1527794.0
31043,MG,31072.0
31044,MG,232639.0
31045,MG,34677.0
31046,MG,25879.0
31047,MG,1126001.0
31048,MG,1008357.0
31049,MG,794176.0
31050,MG,12943.0
31051,MG,51912.0
31052,MG,7620.0
31053,MG,19610.0
31054,MG,2662.0
31055,MG,21414.0
31056,MG,12155.0
31057,MG,8663.0
31058,MG,26449.0
31059,MG,22126.0
31060,MG,873894.0
31061,MG,24857.0
31062,MG,97377.0
31063,MG,27436.0
31064,MG,69601.0
31065,MG,51447.0
31066,MG,27315.0
32001,ES,3000.0
32002,ES,26160.0
32003,ES,5160.0
32004,ES,510799.0
32005,ES,938554.0
32006,ES,684525.0
32007,ES,2894.0
32008,ES,28836.0
32009,ES,11460.0
32010,ES,6880.0
32011,ES,3940.0
32012,ES,17694.0
32013,ES,339013.0
