cod_ibge,uf,qnt_produzida
31018,MG,3219
31019,MG,70
31023,MG,180
31048,MG,75
35004,SP,64
35005,SP,85
35018,SP,53
35020,SP,71
35021,SP,190
35024,SP,364
35026,SP,238
35027,SP,40
35029,SP,60
35031,SP,108
35032,SP,296
35043,SP,71
41012,PR,77
43001,RS,831
43006,RS,140
43007,RS,1849
43008,RS,222
43011,RS,150
43025,RS,706
43029,RS,720
51001,MT,5250
51004,MT,8180
51005,MT,1800
51013,MT,450
51015,MT,84
51019,MT,900
51020,MT,600
52007,GO,123
52010,GO,2518
52012,GO,1989
52013,GO,3180
52015,GO,17350
52016,GO,5666
52017,GO,5131
52018,GO,704
53001,DF,1050
