qnt_produzida,cod_ibge,uf
143.37654100000003,11004,RO
5416.859756000001,17006,TO
1632.0886505000003,22009,PI
10940.340642000001,29009,BA
4861.196725000002,29021,BA
4319.740309500001,31007,MG
5308.296493500001,33011,RJ
858.3434475000001,35010,SP
5591.906551000001,35019,SP
294.87619700000005,35032,SP
17401.3711795,41009,PR
29746.21049400001,41036,PR
3860.8428320000007,42004,SC
58.39314250000001,42006,SC
11608.734791500003,43004,RS
13083.896248500003,43008,RS
23206.254533000007,43010,RS
2155.7400480000006,43015,RS
10092.8298625,43016,RS
2905.588455,43022,RS
8394.764147000002,43026,RS
8401.925609000002,50007,MS
2181.6219040000005,50010,MS
13484.680632500003,51006,MT
1192.7204520000003,51007,MT
3657.4758605,51015,MT
4797.340856000001,51017,MT
3889.6113025000004,51019,MT
23572.033061500002,51021,MT
4411.278448500002,52004,GO
11825.2577135,52007,GO
5995.0276925,52012,GO
11.859925000000002,52013,GO
1461.0436610000004,52014,GO
7331.793892500001,52017,GO
6102.399264500002,52018,GO
