cod_ibge,qnt_produzida,uf
5106307,207,MT
2612455,90,PE
3514924,24,SP
3528858,10,SP
2926202,31,BA
2902708,225,BA
2915353,151,BA
2922250,2,BA
2933604,5,BA
2930154,1,BA
2901809,3,BA
2906006,113,BA
2910859,110,BA
2917706,34,BA
2924603,7,BA
2930105,19,BA
2932457,228,BA
2901155,901,BA
2903003,378,BA
2903235,2527,BA
2905305,1716,BA
2906204,4243,BA
2907608,657,BA
2911303,17,BA
2912400,2286,BA
2913101,4455,BA
2914406,280,BA
2914604,271,BA
2918357,2186,BA
2918506,2611,BA
2919157,2629,BA
2922052,660,BA
2925600,926,BA
2929255,1900,BA
2930808,303,BA
2932408,1835,BA
2905107,15,BA
2905503,90,BA
2906873,5,BA
2917508,45,BA
2921203,97,BA
2921401,120,BA
2921708,1060,BA
2923357,576,BA
2925253,24,BA
2925931,3,BA
2929800,35,BA
2930600,15,BA
2933158,46,BA
2903805,51,BA
2912608,3,BA
2914703,6,BA
2919009,35,BA
2931301,28,BA
2913002,1,BA
2914109,1,BA
2901304,28,BA
2904050,87,BA
2915007,247,BA
2919306,5,BA
2922854,200,BA
2923506,30,BA
2929909,44,BA
2933406,10,BA
2920502,7,BA
2920809,2,BA
2924900,31,BA
2917334,7,BA
2926400,132,BA
2902005,8,BA
2925105,2,BA
2931608,1,BA
2312205,5,CE
2302800,6,CE
2306603,5,CE
2308609,12,CE
2313203,18,CE
2302404,3,CE
2313302,3,CE
2310506,5,CE
