cod_ibge,qnt_produzida,uf
1200203,1387,AC
1200336,840,AC
1200351,1152,AC
1200393,385,AC
1200427,675,AC
1200302,6380,AC
1200328,774,AC
1200609,5720,AC
1200344,1239,AC
1200435,468,AC
1200500,3325,AC
1200013,2430,AC
1200138,3614,AC
1200179,14550,AC
1200385,11822,AC
1200807,7770,AC
1200401,13520,AC
1200450,14816,AC
1200054,963,AC
1200104,3660,AC
1200252,5735,AC
1200708,4660,AC
2100204,110,MA
2100832,82,MA
2101301,303,MA
2101350,31,MA
2101905,454,MA
2102408,82,MA
2103109,96,MA
2103125,58,MA
2103703,45,MA
2104909,133,MA
2106805,377,MA
2109056,44,MA
2111789,342,MA
2101103,24,MA
2101251,24,MA
2102374,42,MA
2105104,16,MA
2107100,107,MA
2109205,34,MA
2109601,40,MA
2110203,30,MA
2101707,94,MA
2105005,48,MA
2108058,82,MA
2109403,12,MA
2110278,24,MA
2112506,682,MA
2100709,107,MA
2101004,385,MA
2101772,23,MA
2102507,297,MA
2103554,128,MA
2105153,27,MA
2106508,277,MA
2106904,168,MA
2107456,224,MA
2107605,512,MA
2108256,281,MA
2108306,585,MA
2108405,208,MA
2108603,561,MA
2109270,483,MA
2109809,301,MA
2110500,296,MA
2111003,162,MA
2111706,386,MA
2112803,76,MA
2112902,73,MA
2102705,193,MA
2105401,349,MA
2106631,161,MA
2106755,85,MA
2107209,53,MA
2108801,123,MA
2109304,103,MA
2112704,366,MA
2100550,39,MA
2101970,18,MA
2102606,125,MA
2102903,49,MA
2103158,250,MA
2103174,211,MA
2104305,44,MA
2104677,260,MA
2105658,88,MA
2106201,31,MA
2106326,63,MA
2106375,90,MA
2112407,1043,MA
2112456,495,MA
2100402,388,MA
2100477,50,MA
2100873,68,MA
2102002,4200,MA
2102036,28500,MA
2102150,443,MA
2102325,22000,MA
2104651,50,MA
2105708,9270,MA
2105963,1622,MA
2106359,6474,MA
2107357,105,MA
2108108,2192,MA
2108504,35,MA
2109239,40,MA
2109908,51,MA
2110005,56000,MA
2110039,44,MA
2111029,98,MA
2112274,20,MA
2113009,1320,MA
2114007,220,MA
2100055,46000,MA
2100600,2720,MA
2102358,421,MA
2103257,1820,MA
2103752,500,MA
2104552,256,MA
2105302,97,MA
2105427,16953,MA
2105500,1658,MA
2105989,615,MA
2107001,395,MA
2109551,241,MA
2110856,838,MA
2111532,521,MA
2111763,1392,MA
2112852,1352,MA
2101202,1531,MA
2101939,150,MA
2102077,468,MA
2104008,888,MA
2105203,454,MA
2105807,802,MA
2105948,688,MA
2105906,191,MA
2106003,684,MA
2107407,253,MA
2108207,249,MA
2108702,493,MA
2108900,755,MA
2110302,843,MA
2111409,832,MA
2111508,152,MA
2111631,723,MA
2111672,139,MA
2111722,225,MA
2112233,549,MA
2100956,3177,MA
2101608,3625,MA
2104081,9105,MA
2104099,2145,MA
2104800,26175,MA
2105351,764,MA
2105476,1270,MA
2105609,376,MA
2109759,560,MA
2111805,3507,MA
2112308,6651,MA
2103802,1980,MA
2104206,16294,MA
2104404,2700,MA
2104503,318,MA
2104602,2678,MA
2104628,5057,MA
2104701,1163,MA
2109106,2281,MA
2110708,5536,MA
2111250,1500,MA
2111748,9490,MA
2100154,448,MA
2100907,143,MA
2106300,3454,MA
2110104,1538,MA
2110237,299,MA
2110609,2260,MA
2100808,2000,MA
2101731,70,MA
2102101,4725,MA
2102200,1960,MA
2103208,605,MA
2106409,1150,MA
2106672,187,MA
2110401,290,MA
2112605,290,MA
2100436,311,MA
2102754,431,MA
2103307,1403,MA
2103604,810,MA
2108454,204,MA
2112100,534,MA
2100105,85,MA
2100303,424,MA
2103406,300,MA
2103901,105,MA
2102309,4842,MA
2103000,1200,MA
2106607,4080,MA
2107803,4900,MA
2111078,8202,MA
2112209,900,MA
2101509,606,MA
2103505,10316,MA
2105450,2688,MA
2105922,4315,MA
2106706,16162,MA
2107308,1999,MA
2107704,1858,MA
2107902,7331,MA
2108009,10478,MA
2110906,2533,MA
2111102,5859,MA
2111904,4873,MA
2111953,496,MA
2102556,361,MA
2102804,93327,MA
2104057,6654,MA
2109007,2633,MA
2111052,490,MA
2111573,2262,MA
2100501,86130,MA
2101400,677435,MA
2104073,9165,MA
2109502,113926,MA
2112001,327550,MA
2101806,341,MA
2104107,62850,MA
2106102,94340,MA
2107258,12990,MA
