,cod_ibge,qnt_produzida,uf
0,1200203,264,AC
1,1200336,176,AC
2,1200351,180,AC
3,1200393,78,AC
4,1200427,345,AC
5,1200302,320,AC
6,1200328,55,AC
7,1200609,400,AC
8,1200344,84,AC
9,1200435,35,AC
10,1200500,300,AC
11,1200013,72,AC
12,1200138,83,AC
13,1200179,186,AC
14,1200385,24,AC
15,1200807,150,AC
16,1200401,144,AC
17,1200450,57,AC
18,1200054,228,AC
19,1200104,420,AC
20,1200252,280,AC
21,1200708,592,AC
22,2100204,146,MA
23,2100832,4,MA
24,2101301,8,MA
25,2101350,4,MA
26,2101905,78,MA
27,2102408,8,MA
28,2103109,6,MA
29,2103125,29,MA
30,2103703,5,MA
31,2104909,22,MA
32,2106805,18,MA
33,2109056,5,MA
34,2111789,8,MA
35,2111300,6,MA
36,2101103,8,MA
37,2101251,5,MA
38,2102374,8,MA
39,2105104,3,MA
40,2107100,11,MA
41,2109205,8,MA
42,2109601,11,MA
43,2110203,10,MA
44,2101707,927,MA
45,2105005,6,MA
46,2108058,37,MA
47,2109403,6,MA
48,2110278,3,MA
49,2112506,45,MA
50,2100709,76,MA
51,2101004,11050,MA
52,2101772,49,MA
53,2102507,750,MA
54,2103554,152,MA
55,2105153,55,MA
56,2106508,84,MA
57,2106904,407,MA
58,2107456,138,MA
59,2107605,94,MA
60,2108256,239,MA
61,2108306,690,MA
62,2108405,27,MA
63,2108603,71,MA
64,2109270,49,MA
65,2109809,90,MA
66,2110500,111,MA
67,2111003,32,MA
68,2111706,242,MA
69,2112803,3426,MA
70,2112902,4370,MA
71,2102705,515,MA
72,2105401,526,MA
73,2106631,557,MA
74,2106755,182,MA
75,2107209,140,MA
76,2108801,476,MA
77,2109304,227,MA
78,2112704,582,MA
79,2100550,118,MA
80,2101970,24,MA
81,2102606,48,MA
82,2102903,36,MA
83,2103158,250,MA
84,2103174,206,MA
85,2104305,14,MA
86,2104677,59,MA
87,2105658,47,MA
88,2106201,23,MA
89,2106326,29,MA
90,2106375,149,MA
91,2112407,109,MA
92,2112456,72,MA
93,2100402,145,MA
94,2100477,109,MA
95,2100873,90,MA
96,2102002,415,MA
97,2102036,213,MA
98,2102150,399,MA
99,2102325,490,MA
100,2104651,89,MA
101,2105708,1680,MA
102,2105963,443,MA
103,2106359,598,MA
104,2107357,124,MA
105,2108108,671,MA
106,2108504,205,MA
107,2109239,55,MA
108,2109908,71,MA
109,2110005,1150,MA
110,2110039,41,MA
111,2111029,134,MA
112,2112274,130,MA
113,2113009,112,MA
114,2114007,270,MA
115,2100055,185,MA
116,2100600,1030,MA
117,2102358,68,MA
118,2103257,21,MA
119,2103752,29,MA
120,2104552,23,MA
121,2105302,101,MA
122,2105427,306,MA
123,2105500,19,MA
124,2105989,17,MA
125,2107001,224,MA
126,2109551,44,MA
127,2110856,13,MA
128,2111532,276,MA
129,2111763,13,MA
130,2112852,189,MA
131,2101202,955,MA
132,2101939,124,MA
133,2102077,369,MA
134,2104008,632,MA
135,2105203,347,MA
136,2105807,218,MA
137,2105948,107,MA
138,2105906,144,MA
139,2106003,549,MA
140,2107407,111,MA
141,2108207,271,MA
142,2108702,293,MA
143,2108900,687,MA
144,2110302,711,MA
145,2111409,1294,MA
146,2111508,22544,MA
147,2111631,475,MA
148,2111672,306,MA
149,2111722,89,MA
150,2112233,216,MA
151,2100956,1214,MA
152,2101608,1425,MA
153,2104081,474,MA
154,2104099,1870,MA
155,2104800,14113,MA
156,2105351,400,MA
157,2105476,595,MA
158,2105609,473,MA
159,2109759,170,MA
160,2111805,1396,MA
161,2112308,2554,MA
162,2103802,266,MA
163,2104206,892,MA
164,2104404,407,MA
165,2104503,119,MA
166,2104602,486,MA
167,2104628,496,MA
168,2104701,245,MA
169,2109106,312,MA
170,2110708,410,MA
171,2111250,1086,MA
172,2111748,1911,MA
173,2100907,28,MA
174,2106300,135,MA
175,2110104,132,MA
176,2110609,29,MA
177,2100808,290,MA
178,2101731,32,MA
179,2102101,580,MA
180,2102200,520,MA
181,2103208,1050,MA
182,2106409,267,MA
183,2106672,300,MA
184,2110401,159,MA
185,2112605,240,MA
186,2100436,432,MA
187,2102754,332,MA
188,2103307,2700,MA
189,2103604,1845,MA
190,2108454,570,MA
191,2112100,1125,MA
192,2100105,180,MA
193,2100303,898,MA
194,2103406,693,MA
195,2103901,198,MA
196,2102309,8775,MA
197,2103000,3960,MA
198,2106607,1720,MA
199,2107803,1100,MA
200,2111078,634,MA
201,2112209,1250,MA
202,2101509,256,MA
203,2103505,1094,MA
204,2105450,955,MA
205,2105922,596,MA
206,2106706,1531,MA
207,2107308,242,MA
208,2107704,749,MA
209,2107902,649,MA
210,2108009,503,MA
211,2110906,463,MA
212,2111102,1249,MA
213,2111904,522,MA
214,2111953,219,MA
215,2102556,53,MA
216,2102804,966,MA
217,2104057,208,MA
218,2109007,41,MA
219,2111052,44,MA
220,2111573,707,MA
221,2100501,3530,MA
222,2101400,4787,MA
223,2104073,904,MA
224,2109502,4068,MA
225,2112001,478,MA
226,2101806,1648,MA
227,2104107,1947,MA
228,2106102,2599,MA
229,2107258,270,MA
230,2109700,1362,MA
231,2110658,1290,MA
232,2110807,2952,MA
233,2111607,984,MA
234,3104502,80,MG
235,3108206,30,MG
236,3136306,4,MG
237,3153400,90,MG
238,3108255,200,MG
239,3116159,18,MG
240,3117836,17,MG
241,3130051,27,MG
242,3135209,60,MG
243,3139300,6,MG
244,3142700,2,MG
245,3150570,10,MG
246,3162450,11,MG
247,3127339,4,MG
248,3142908,2,MG
249,3154507,2,MG
250,3130655,25,MG
251,3143450,7,MG
252,3145372,5,MG
253,3155603,78,MG
254,3160454,36,MG
255,3162708,36,MG
256,3170651,11,MG
257,3109402,2,MG
258,3137304,6,MG
259,3154457,6,MG
260,3164209,45,MG
261,3108602,18,MG
262,3118809,14,MG
263,3126703,6,MG
264,3135357,18,MG
265,3138658,6,MG
266,3143302,3,MG
267,3162252,14,MG
268,3162401,6,MG
269,3108503,7,MG
270,3120300,12,MG
271,3127800,18,MG
272,3132008,10,MG
273,3107307,23,MG
274,3123809,20,MG
275,3128253,3,MG
276,3145455,4,MG
277,3121605,14,MG
278,3125408,30,MG
279,3102852,7,MG
280,3104452,4,MG
281,3112307,5,MG
282,3132503,22,MG
283,3141801,12,MG
284,3169703,3,MG
285,3145307,23,MG
286,3117009,5,MG
287,3104700,9,MG
288,3137007,8,MG
289,3139201,2,MG
290,3146206,4,MG
291,3165552,5,MG
292,3129103,7,MG
293,3134202,15,MG
294,3159803,9,MG
295,3111804,225,MG
296,3111101,10,MG
297,3133402,4,MG
298,3118205,25,MG
299,3100203,8,MG
300,3109204,22,MG
301,3107406,8,MG
302,3135308,45,MG
303,3105004,3,MG
304,3126406,3,MG
305,3134608,3,MG
306,3139706,4,MG
307,3102407,1,MG
308,3156007,5,MG
309,3124104,3,MG
310,3115409,7,MG
311,3121407,6,MG
312,3100609,4,MG
313,3112059,9,MG
314,3148608,20,MG
315,3164506,4,MG
316,3122108,7,MG
317,3132701,3,MG
318,3161650,30,MG
319,3167707,8,MG
320,3115706,7,MG
321,3131802,5,MG
322,3139607,15,MG
323,3141504,9,MG
324,3144672,5,MG
325,3162575,24,MG
326,3107802,12,MG
327,3113404,9,MG
328,3120003,24,MG
329,3130556,3,MG
330,3130903,12,MG
331,3162609,42,MG
332,3168408,19,MG
333,3170057,6,MG
334,3170578,60,MG
335,3101102,450,MG
336,3102209,18,MG
337,3117405,39,MG
338,3118403,16,MG
339,3120839,10,MG
340,3127370,25,MG
341,3131208,15,MG
342,3144003,135,MG
343,3151909,90,MG
344,3154309,50,MG
345,3159506,32,MG
346,3168051,15,MG
347,3104205,1723,MG
348,3133501,3,MG
349,3112000,10,MG
350,3130002,4,MG
351,3150604,14,MG
352,3143005,21,MG
353,3163904,15,MG
354,3165107,15,MG
355,3102001,8,MG
356,3107109,10,MG
357,3111309,5,MG
358,3111606,9,MG
359,3152501,180,MG
360,3109709,2,MG
361,3113602,420,MG
362,3129202,2100,MG
363,3149101,4,MG
364,3159605,7,MG
365,3104908,1,MG
366,3135902,110,MG
367,3164902,40,MG
368,3101201,3,MG
369,3120805,3,MG
370,3165305,1,MG
371,3120508,2,MG
372,3150901,196,MG
373,3171709,8,MG
374,3114600,10,MG
375,3134509,10,MG
376,3152709,90,MG
377,3165008,4,MG
378,3121506,10,MG
379,3166204,70,MG
380,3128204,20,MG
381,3154002,7,MG
382,3163607,20,MG
383,3102100,17,MG
384,3116308,4,MG
385,3150802,21,MG
386,3152303,20,MG
387,3153103,4,MG
388,3155207,37,MG
389,3105509,80,MG
390,3124906,2,MG
391,3142205,8,MG
392,3143906,6,MG
393,3148202,4,MG
394,3169208,12,MG
395,3149408,5,MG
396,3159407,63,MG
397,3162906,10,MG
398,3138005,10,MG
399,3138401,24,MG
400,3160009,20,MG
401,5101902,14960,MT
402,5103254,245,MT
403,5103379,682,MT
404,5105150,1260,MT
405,5105176,33,MT
406,5100250,3600,MT
407,5100805,1200,MT
408,5102793,900,MT
409,5106158,2400,MT
410,5108956,5400,MT
411,5106299,300,MT
412,5103205,3000,MT
413,5104104,9699,MT
414,5105606,8083,MT
415,5106216,3000,MT
416,5108808,5700,MT
417,5106265,10134,MT
418,5106422,16205,MT
419,5108055,7695,MT
420,5102686,819,MT
421,5103304,15600,MT
422,5103502,8125,MT
423,5105101,8000,MT
424,5108907,5400,MT
425,5106273,7031,MT
426,5106802,11127,MT
427,5107305,1800,MT
428,5107941,15120,MT
429,5104526,2567,MT
430,5104542,5940,MT
431,5105903,485,MT
432,5106224,3600,MT
433,5106240,23860,MT
434,5107768,2880,MT
435,5107925,16280,MT
436,5103056,17820,MT
437,5103700,19800,MT
438,5104559,6800,MT
439,5105580,10500,MT
440,5106190,7648,MT
441,5107248,5940,MT
442,5107909,11447,MT
443,5108303,6600,MT
444,5108501,12360,MT
445,5106208,1125,MT
446,5106307,26220,MT
447,5106455,1000,MT
448,5100359,300,MT
449,5105309,600,MT
450,5106315,54,MT
451,5107776,1366,MT
452,5107859,1440,MT
453,5107883,150,MT
454,5100201,18150,MT
455,5102603,810,MT
456,5106174,2310,MT
457,5107065,3750,MT
458,5103106,840,MT
459,5106752,990,MT
460,5101704,1350,MT
461,5106232,600,MT
462,5107958,5813,MT
463,5106000,1080,MT
464,5107701,1250,MT
465,5106109,11,MT
466,5102504,1,MT
467,5106505,23,MT
468,5102678,1015,MT
469,5005608,13936,MS
470,5007901,1536,MS
471,5005806,41,MS
472,5003504,3200,MS
473,5003702,10800,MS
474,5003801,1747,MS
475,5004502,8378,MS
476,5006606,4032,MS
477,5007208,19875,MS
478,5003454,3570,MS
479,1503903,4,PA
480,1505106,24,PA
481,1505304,11,PA
482,1500404,371,PA
483,1501451,5250,PA
484,1502855,4,PA
485,1504752,3500,PA
486,1504802,144,PA
487,1505650,330,PA
488,1506005,497,PA
489,1506807,7000,PA
490,1505908,156,PA
491,1503101,150,PA
492,1502004,25000,PA
493,1506302,3308,PA
494,1501303,7,PA
495,1506351,20,PA
496,1501907,24,PA
497,1503408,10,PA
498,1504109,12,PA
499,1504307,60,PA
500,1504406,24,PA
501,1506203,13,PA
502,1507102,30,PA
503,1507466,20,PA
504,1507474,1,PA
505,1500909,25,PA
506,1501709,70,PA
507,1502202,4,PA
508,1506104,2,PA
509,1508035,11,PA
510,1500107,36,PA
511,1501204,23,PA
512,1502103,180,PA
513,1503309,14,PA
514,1504000,34,PA
515,1504604,4500,PA
516,1505205,175,PA
517,1500206,42,PA
518,1502756,16,PA
519,1504703,159,PA
520,1507953,2800,PA
521,1508001,215,PA
522,1500958,87,PA
523,1501956,231,PA
524,1502301,48,PA
525,1503077,10,PA
526,1503457,1307,PA
527,1503507,80,PA
528,1504950,3,PA
529,1506559,13,PA
530,1507201,60,PA
531,1508308,7150,PA
532,1501006,72,PA
533,1503606,32,PA
534,1503754,720,PA
535,1505031,4800,PA
536,1506195,1160,PA
537,1508050,4200,PA
538,1500602,11340,PA
539,1500859,250,PA
540,1501725,20,PA
541,1504455,30,PA
542,1505486,375,PA
543,1507805,160,PA
544,1508159,1750,PA
545,1508357,30,PA
546,1503705,88,PA
547,1505064,120,PA
548,1500131,32,PA
549,1501576,153,PA
550,1502939,835,PA
551,1505502,7590,PA
552,1506187,236,PA
553,1508126,7081,PA
554,1502764,1161,PA
555,1505437,8,PA
556,1507300,68,PA
557,1508084,6,PA
558,1500347,22,PA
559,1502152,92,PA
560,1502954,66,PA
561,1504208,105,PA
562,1505635,15,PA
563,1506138,142,PA
564,1506161,37,PA
565,1502707,265,PA
566,1503044,164,PA
567,1506583,544,PA
568,1506708,6700,PA
569,2504306,2,PB
570,2513901,2,PB
571,2514651,4,PB
572,2502409,42,PB
573,2503704,20,PB
574,2504108,7,PB
575,2513653,8,PB
576,2500700,750,PB
577,2514503,19,PB
578,2516805,35,PB
579,2516904,4,PB
580,2503753,4,PB
581,2504504,2,PB
582,2508406,12,PB
583,2509156,320,PB
584,2510006,12,PB
585,2510907,4,PB
586,2513927,2,PB
587,2514206,15,PB
588,2516201,1625,PB
589,2517209,12,PB
590,2500205,8,PB
591,2504207,12,PB
592,2504801,2,PB
593,2505907,15,PB
594,2502607,27,PB
595,2510204,90,PB
596,2510402,48,PB
597,2511301,4,PB
598,2513604,94,PB
599,2502102,33,PB
600,2505303,12,PB
601,2505600,48,PB
602,2506608,38,PB
603,2507002,90,PB
604,2511004,133,PB
605,2513356,12,PB
606,2513505,15,PB
607,2514305,7,PB
608,2515708,8,PB
609,2500106,1,PB
610,2508000,12,PB
611,2516607,7,PB
612,2517100,2,PB
613,2516003,11,PB
614,2501500,5,PB
615,2515906,10,PB
616,2500502,6,PB
617,4119707,12225,PR
618,4121000,46500,PR
619,4123303,16317,PR
620,4123709,23988,PR
621,4123956,20250,PR
