,cod_ibge,qnt_produzida,uf
0,3170404,19.499399999999998,MG
1,3128600,1505.7869999999998,MG
2,3139300,252.76999999999998,MG
3,3135050,46.2208,MG
4,3145059,7.2219999999999995,MG
5,3121001,2863.5229999999997,MG
6,3127602,379.155,MG
7,3132503,7.2219999999999995,MG
8,3103504,252.76999999999998,MG
9,3130705,1769.3899999999999,MG
10,3170206,1805.4999999999998,MG
11,3119302,1011.0799999999999,MG
12,3124807,1847.0265,MG
13,3131604,5037.344999999999,MG
14,3143104,2636.0299999999997,MG
15,3148103,6933.12,MG
16,3156403,1155.52,MG
17,3166808,3166.8469999999998,MG
18,3114303,281.65799999999996,MG
19,3141207,64.99799999999999,MG
20,3148004,259.99199999999996,MG
21,3155504,38276.6,MG
22,3162104,7969.477,MG
23,3168903,379.155,MG
24,3170107,9681.090999999999,MG
25,3104007,3954.0449999999996,MG
26,3111507,2365.205,MG
27,3129509,7565.044999999999,MG
28,3145000,12358.6475,MG
29,3149200,3412.395,MG
30,3149804,87223.70499999999,MG
31,3153004,1645.1716,MG
32,3156908,59906.49,MG
33,3157708,43656.99,MG
34,3168101,17386.965,MG
35,3153202,7.2219999999999995,MG
36,3107406,46.943,MG
37,3112505,32.498999999999995,MG
38,3118908,9.0275,MG
39,3147402,43.331999999999994,MG
40,3129806,9.0275,MG
41,3130101,18.055,MG
42,3140704,21.665999999999997,MG
43,3108107,39.359899999999996,MG
44,3114907,57.775999999999996,MG
45,3118304,115.91309999999999,MG
46,3120409,64.99799999999999,MG
47,3133907,601.2315,MG
48,3145901,695.1175,MG
49,3153806,54.165,MG
50,3171808,7.2219999999999995,MG
51,3157252,97.13589999999999,MG
52,3141306,418.876,MG
53,3164308,5669.2699999999995,MG
54,3168200,75.83099999999999,MG
55,3122306,234.71499999999997,MG
56,3126109,1585.2289999999998,MG
57,3133501,32.498999999999995,MG
58,3114501,32.498999999999995,MG
59,3161205,524.3172,MG
60,3121209,10.832999999999998,MG
61,3145109,884.6949999999999,MG
62,3101607,2608.9474999999998,MG
63,3102001,267.214,MG
64,3122405,731.2275,MG
65,3139003,1245.7949999999998,MG
66,3147204,1159.1309999999999,MG
67,3151701,451.37499999999994,MG
68,3110905,3610.9999999999995,MG
69,3160801,288.88,MG
70,3169307,4073.2079999999996,MG
71,3102605,2224.3759999999997,MG
72,3108404,126.38499999999999,MG
73,3110301,4212.9537,MG
74,3111002,2527.7,MG
75,3130606,288.88,MG
76,3143401,108.33,MG
77,3146008,119.163,MG
78,3151800,4188.759999999999,MG
79,3159209,5416.5,MG
80,3107901,11927.133,MG
81,3108305,21.665999999999997,MG
82,3109105,12262.955999999998,MG
83,3110509,6026.3979,MG
84,3110608,736.644,MG
85,3117900,1928.274,MG
86,3119906,610.259,MG
87,3124401,3863.7699999999995,MG
88,3124500,1986.05,MG
89,3125101,983.9975,MG
90,3127404,162.49499999999998,MG
91,3131505,21160.46,MG
92,3133600,1700.781,MG
93,3143807,5885.929999999999,MG
94,3152501,4351.255,MG
95,3165404,92.4416,MG
96,3165578,3726.5519999999997,MG
97,3165800,527.206,MG
98,3169059,216.66,MG
99,3169109,1213.2959999999998,MG
100,3109709,2181.044,MG
101,3113602,834.5020999999999,MG
102,3117207,457.5137,MG
103,3119005,695.1175,MG
104,3129202,541.65,MG
105,3149101,412.01509999999996,MG
106,3159605,1255.5447,MG
107,3162005,2274.93,MG
108,3162302,292.491,MG
109,3163201,114.4687,MG
110,3164407,458.597,MG
111,3167400,649.9799999999999,MG
112,3169802,162.49499999999998,MG
113,3133006,406.23749999999995,MG
114,3147600,258.9087,MG
115,3138500,43.331999999999994,MG
116,3141900,135.4125,MG
117,3165305,59.5815,MG
118,3108909,129.99599999999998,MG
119,3120508,1632.1719999999998,MG
120,3121100,656.1187,MG
121,3122801,175.4946,MG
122,3132404,144.8011,MG
123,3139904,3947.9062999999996,MG
124,3140407,66.44239999999999,MG
125,3147303,334.0175,MG
126,3171709,451.37499999999994,MG
127,3172202,137.218,MG
128,3154200,10.832999999999998,MG
129,3102902,86.66399999999999,MG
130,3105608,613.87,MG
131,3113206,595.8149999999999,MG
132,3152105,18.055,MG
133,3139409,30.693499999999997,MG
134,3148756,18.055,MG
135,3167608,34.3045,MG
136,3122009,21.665999999999997,MG
137,3124203,20.2216,MG
138,4126009,2315.0121,PR
139,4117008,2470.6461999999997,PR
140,4117305,90.27499999999999,PR
141,4121703,104.719,PR
142,4127502,2823.8019999999997,PR
143,4128534,1281.905,PR
144,4119400,5335.2525,PR
145,4104659,565.1215,PR
146,4104907,17043.92,PR
147,4117701,8339.2434,PR
148,4119905,3291.0654,PR
149,4124053,86.66399999999999,PR
150,4101002,5.416499999999999,PR
151,4102752,5.416499999999999,PR
152,4104501,5.416499999999999,PR
153,4119004,10.832999999999998,PR
154,4119806,10.832999999999998,PR
155,4120358,5.416499999999999,PR
156,4121406,5.416499999999999,PR
157,4123808,5.416499999999999,PR
158,4102604,10.832999999999998,PR
159,4103024,5.416499999999999,PR
160,4103156,10.832999999999998,PR
161,4106571,5.416499999999999,PR
162,4107207,16.249499999999998,PR
163,4107405,5.416499999999999,PR
164,4107850,5.416499999999999,PR
165,4108403,21.665999999999997,PR
166,4114351,5.416499999999999,PR
167,4115408,10.832999999999998,PR
168,4116950,5.416499999999999,PR
169,4117255,5.416499999999999,PR
170,4119251,5.416499999999999,PR
171,4121604,5.416499999999999,PR
172,4122800,10.832999999999998,PR
173,4123006,5.416499999999999,PR
174,4124400,5.416499999999999,PR
175,4125209,5.416499999999999,PR
176,4128609,5.416499999999999,PR
177,4105409,5.7776,PR
178,4106506,2.8888,PR
179,4111209,3.6109999999999998,PR
180,4115309,3.6109999999999998,PR
181,4118501,1.8054999999999999,PR
182,4124806,3.6109999999999998,PR
183,4126272,2.8888,PR
184,4126652,2.8888,PR
185,4128708,2.8888,PR
186,4123857,1372.1799999999998,PR
187,4103958,736.644,PR
188,4104428,11898.244999999999,PR
189,4108452,292.491,PR
190,4108650,417.0705,PR
191,4109401,41418.17,PR
192,4110201,586.7874999999999,PR
193,4113304,3.6109999999999998,PR
194,4119301,21925.992,PR
195,4120903,1.0833,PR
196,4121752,3430.45,PR
197,4122156,4.6943,PR
198,4127965,736.644,PR
199,4109658,2585.4759999999997,PR
200,4114401,559.7049999999999,PR
201,4117602,16068.949999999999,PR
202,4107736,5281.0875,PR
203,4110102,3065.7389999999996,PR
204,4110508,1355.9305,PR
205,4120606,115.55199999999999,PR
206,4127007,4437.919,PR
207,4110706,3060.3224999999998,PR
208,4121505,4549.86,PR
209,4122008,911.7774999999999,PR
210,4118600,2495.201,PR
211,4118709,328.601,PR
212,4101309,4495.695,PR
213,4125100,1482.3155,PR
214,4125605,18560.539999999997,PR
215,4113205,17170.305,PR
216,4120101,2714.7498,PR
217,4100400,356.40569999999997,PR
218,4101804,14458.444,PR
219,4102307,3157.0973,PR
220,4104204,8793.8683,PR
221,4104253,1794.667,PR
222,4106209,20133.1305,PR
223,4106902,12.9996,PR
224,4107652,389.988,PR
225,4114302,918.9994999999999,PR
226,4100301,346.65599999999995,PR
227,4104105,1307.5430999999999,PR
228,4119103,1099.5494999999999,PR
229,4121208,4658.19,PR
230,4122305,1982.4389999999999,PR
231,4127601,2365.205,PR
232,3305901,71.4978,RJ
233,2700300,15.1662,AL
234,2702306,1.8054999999999999,AL
235,4300307,7.2219999999999995,RS
236,4304309,39.721,RS
237,4313425,1.8054999999999999,RS
238,4315008,8.6664,RS
239,4315057,1.8054999999999999,RS
240,4315073,1.8054999999999999,RS
241,4317202,12.638499999999999,RS
242,4317905,5.416499999999999,RS
243,4318499,4.3332,RS
244,4321808,14.443999999999999,RS
245,4322301,28.887999999999998,RS
246,4302204,38.637699999999995,RS
247,4304002,4.3332,RS
248,4306007,43.331999999999994,RS
249,4306734,5.7776,RS
250,4307450,5.416499999999999,RS
251,4309605,9.0275,RS
252,4309704,12.9996,RS
253,4312302,1.4444,RS
254,4313011,7.2219999999999995,RS
255,4315404,1.8054999999999999,RS
256,4319109,11.194099999999999,RS
257,4321402,8.6664,RS
258,4321477,16.249499999999998,RS
259,4321907,27.0825,RS
260,4300505,10.1108,RS
261,4300646,1.4444,RS
262,4303400,8.6664,RS
263,4306072,7.2219999999999995,RS
264,4306924,7.2219999999999995,RS
265,4308508,9.0275,RS
266,4310504,0.7222,RS
267,4311601,16.249499999999998,RS
268,4313805,9.0275,RS
269,4314498,1.8054999999999999,RS
270,4314704,3.6109999999999998,RS
271,4315909,3.6109999999999998,RS
272,4320206,10.832999999999998,RS
273,4321329,3.6109999999999998,RS
274,4323101,1.0833,RS
275,4323507,1.8054999999999999,RS
276,4300901,40.4432,RS
277,4301552,7.2219999999999995,RS
278,4301701,32.498999999999995,RS
279,4301925,5.7776,RS
280,4303806,4.3332,RS
281,4304853,21.665999999999997,RS
282,4305116,7.9441999999999995,RS
283,4306973,14.443999999999999,RS
284,4307005,15.888399999999999,RS
285,4307203,3.2499,RS
286,4308706,25.9992,RS
287,4308904,93.886,RS
288,4311908,25.276999999999997,RS
289,4314134,10.832999999999998,RS
290,4314787,3.6109999999999998,RS
291,4319703,18.055,RS
292,4320602,3.6109999999999998,RS
293,4321634,34.3045,RS
