,cod_ibge,qnt_produzida,uf
0,1200203,739.84,AC
1,1200336,360.96,AC
2,1200351,441.6,AC
3,1200393,262.4,AC
4,1200427,272.64,AC
5,1200302,320.0,AC
6,1200328,128.0,AC
7,1200609,480.0,AC
8,1200344,240.0,AC
9,1200435,161.92000000000002,AC
10,1200500,249.6,AC
11,1200013,896.0,AC
12,1200138,748.8000000000001,AC
13,1200179,320.0,AC
14,1200385,208.0,AC
15,1200807,259.2,AC
16,1200401,518.4,AC
17,1200450,240.0,AC
18,1200054,249.6,AC
19,1200104,192.0,AC
20,1200252,192.0,AC
21,1200708,480.0,AC
22,2104909,1320.96,MA
23,2106805,1282.56,MA
24,2101251,154.24,MA
25,2109601,163.84,MA
26,2108058,255.36,MA
27,2107605,1347.84,MA
28,2108306,48.0,MA
29,2108603,918.4,MA
30,2106375,43.52,MA
31,2100600,102.4,MA
32,2109551,71058.56,MA
33,2104008,126.08,MA
34,2105807,27.52,MA
35,2105948,226.56,MA
36,2108207,152.96,MA
37,2110302,226.56,MA
38,2112233,89.60000000000001,MA
39,2101608,884.48,MA
40,2104081,64.0,MA
41,2104099,204.8,MA
42,2104800,89.60000000000001,MA
43,2105351,230.4,MA
44,2105476,118.4,MA
45,2111805,108.8,MA
46,2112308,23185.920000000002,MA
47,2103802,200.32,MA
48,2104404,418.56,MA
49,2104503,58.88,MA
50,2109106,469.76,MA
51,2111250,51.84,MA
52,2110104,868.48,MA
53,2110609,1299.2,MA
54,2100808,1228.8,MA
55,2101731,57.6,MA
56,2102101,904.32,MA
57,2102200,155.52,MA
58,2103208,126.08,MA
59,2106409,629.76,MA
60,2106672,454.40000000000003,MA
61,2110401,208.0,MA
62,2112605,218.88,MA
63,2102754,570.24,MA
64,2103307,34150.4,MA
65,2103604,106.88,MA
66,2108454,76.16,MA
67,2112100,63.36,MA
68,2100105,108.8,MA
69,2100303,193536.0,MA
70,2103406,172166.4,MA
71,2103901,17963.52,MA
72,2102309,1804.8,MA
73,2103000,118099.84,MA
74,2106607,120.32000000000001,MA
75,2107803,2080.0,MA
76,2111078,71.68,MA
77,2112209,5866.88,MA
78,2101509,363.52,MA
79,2103505,348.16,MA
