cod_ibge,uf,qnt_produzida
3136306,MG,2820.2999999999997
3130051,MG,102.0
3135209,MG,140.25
3140852,MG,51.0
3149150,MG,191.25
3161106,MG,191.25
3124302,MG,110.5
3135050,MG,102.0
3135100,MG,273.7
3141009,MG,10.2
3142908,MG,71.39999999999999
3145059,MG,24.65
3152204,MG,53.55
3154507,MG,4.25
3101003,MG,10.2
3130655,MG,5.1
3155603,MG,14.45
3156502,MG,37.4
3157005,MG,40.8
3157377,MG,4.25
3162708,MG,5.1
3168002,MG,7.6499999999999995
3138104,MG,199.75
3151206,MG,212.5
3170800,MG,4475.25
3112703,MG,11.9
3118809,MG,5.1
3126703,MG,74.8
3143302,MG,40.8
3162401,MG,4.25
3171030,MG,124.95
3107307,MG,8.5
3106507,MG,58.65
3116100,MG,4.25
3136520,MG,10.2
3141801,MG,4.25
3169703,MG,13.6
3103405,MG,38.25
3113008,MG,12.75
3119500,MG,11.9
3146305,MG,4.25
3117009,MG,4.25
3133303,MG,68.0
3141405,MG,7.6499999999999995
3101706,MG,187.0
3105202,MG,22.95
3122454,MG,66.3
3134707,MG,20.4
3135803,MG,214.2
3136504,MG,4.25
3160306,MG,4.25
3104700,MG,16.15
3115458,MG,12.75
3126752,MG,8.5
3132305,MG,5.1
3137007,MG,4.25
3145356,MG,10.2
3146206,MG,25.5
3148509,MG,20.4
3168606,MG,11.9
3100906,MG,33.15
3120151,MG,10.2
3159803,MG,24.65
3103504,MG,612.0
3152808,MG,39.949999999999996
3169604,MG,38.25
3148103,MG,49.3
3114550,MG,51.0
3127107,MG,408.0
3134400,MG,187.0
3170107,MG,170.0
3109204,MG,65.45
3120904,MG,283.05
3109907,MG,4.25
3135704,MG,17.0
3167202,MG,5.95
3121803,MG,27.2
3144706,MG,5.95
3100609,MG,10.2
3136553,MG,5.1
3158201,MG,25.5
3101805,MG,19.55
3112653,MG,5.1
3122108,MG,8.5
3123700,MG,61.199999999999996
3126901,MG,26.349999999999998
3127701,MG,516.8
3132701,MG,23.8
3161601,MG,24.65
3161650,MG,15.299999999999999
3163300,MG,17.0
3167707,MG,115.6
3169505,MG,41.65
3171907,MG,183.6
3115706,MG,21.25
3131802,MG,23.8
3139607,MG,2167.5
3141504,MG,6.8
3144672,MG,21.25
3162575,MG,144.5
