,cod_ibge,qnt_produzida,uf
0,3130705,210.0,MG
1,3152808,495.0,MG
2,3169604,564.5,MG
3,3170206,340.0,MG
4,3124807,35.0,MG
5,3157708,90.0,MG
6,3134806,37.5,MG
7,5101902,2625.0,MT
8,5102637,2340.0,MT
9,5103502,1750.0,MT
10,5107305,900.0,MT
11,5107958,225.0,MT
12,5101308,42.0,MT
13,5107040,450.0,MT
14,5107008,300.0,MT
15,4113106,38.5,PR
16,4310405,251.0,RS
17,4313425,72.0,RS
18,4317202,3.0,RS
19,4321808,26.5,RS
20,4322103,63.0,RS
21,4303301,70.0,RS
22,4302501,117.0,RS
23,4306932,75.0,RS
24,4309001,327.0,RS
25,4317707,72.0,RS
26,4318903,231.0,RS
27,4319158,102.5,RS
28,4300455,45.0,RS
29,4310207,66.0,RS
30,4316451,75.0,RS
31,4318408,353.0,RS
32,4311759,90.0,RS
33,4318002,270.0,RS
34,3540804,24.0,SP
35,3557154,8.0,SP
36,3535705,42.5,SP
37,3516507,26.5,SP
38,3503406,5.5,SP
39,3519105,30.0,SP
40,3505203,48.0,SP
41,3507308,7.0,SP
42,3522000,40.0,SP
43,3506706,19.0,SP
44,3516853,100.0,SP
45,3522703,19.0,SP
46,3529302,28.0,SP
47,3552700,16.0,SP
48,3512704,4.0,SP
49,3543907,100.0,SP
50,3554706,15.0,SP
51,3526704,20.0,SP
52,3500303,30.0,SP
53,3522604,54.0,SP
54,3519055,12.5,SP
55,3545803,25.0,SP
56,3552403,110.5,SP
57,3511607,11.0,SP
58,3541653,24.5,SP
59,5300108,525.0,DF
60,5201108,61.5,GO
61,5203302,1110.0,GO
62,5220454,149.0,GO
63,5200100,485.0,GO
64,5206206,84.0,GO
65,5212501,425.5,GO
66,5205471,240.0,GO
67,5218805,1350.0,GO
68,5203906,672.0,GO
69,5204508,1800.0,GO
70,5209101,752.0,GO
71,5211503,661.5,GO
72,5212105,907.5,GO
73,5212907,400.0,GO
74,5213806,209.0,GO
75,5216007,173.0,GO
76,5217104,2700.0,GO
77,5217708,400.0,GO
78,5208152,620.0,GO
79,5215306,615.0,GO
80,5219209,65.0,GO
81,5220603,500.0,GO
82,5222005,1033.0,GO
83,5205109,825.0,GO
84,5205901,200.0,GO
85,5210109,1500.0,GO
86,5214804,40.5,GO
87,5218508,352.0,GO
