cod_ibge,qnt_produzida,uf
1200203,135324.0,AC
1200336,107457.84000000001,AC
1200351,97632.0,AC
1200393,40521.600000000006,AC
1200427,98928.0,AC
1200302,99900.0,AC
1200328,23976.0,AC
1200609,118800.00000000001,AC
1200344,15444.000000000002,AC
1200435,12096.0,AC
1200500,85536.0,AC
1200013,20736.0,AC
1200138,25056.0,AC
1200179,27216.0,AC
1200385,22896.0,AC
1200807,35316.0,AC
1200401,50112.0,AC
1200450,31104.000000000004,AC
1200054,15379.2,AC
1200104,23500.800000000003,AC
1200252,24516.0,AC
1200708,37800.0,AC
2100204,11804.400000000001,MA
2100832,6011.280000000001,MA
2101301,6512.400000000001,MA
2101350,3823.2000000000003,MA
2101905,11670.480000000001,MA
2102408,7801.92,MA
2103109,6752.160000000001,MA
2103125,5147.280000000001,MA
2103703,5981.04,MA
2104909,7041.6,MA
2106805,7341.84,MA
2109056,6981.120000000001,MA
2111789,9160.560000000001,MA
2107506,205.20000000000002,MA
2109452,95.04,MA
2111201,190.08,MA
2101103,6419.52,MA
2101251,2304.7200000000003,MA
2102374,6235.92,MA
2105104,13960.080000000002,MA
2107100,14752.800000000001,MA
2109205,8434.800000000001,MA
2109601,2039.0400000000002,MA
2110203,2486.1600000000003,MA
2101707,22150.800000000003,MA
2105005,9616.320000000002,MA
2108058,5635.4400000000005,MA
2109403,1982.88,MA
2110278,2555.28,MA
2112506,15091.920000000002,MA
2100709,7305.120000000001,MA
2101004,4233.6,MA
2101772,324.0,MA
2102507,8331.12,MA
2103554,1645.92,MA
2105153,935.2800000000001,MA
2106508,10722.240000000002,MA
2106904,4060.8,MA
2107456,6441.120000000001,MA
2107605,13307.76,MA
2108256,13757.04,MA
2108306,14364.000000000002,MA
2108405,7488.72,MA
2108603,19394.640000000003,MA
2109270,12798.0,MA
2109809,5017.68,MA
2110500,6389.280000000001,MA
2111003,6123.6,MA
2111706,11476.08,MA
2112803,14364.000000000002,MA
2112902,4875.12,MA
2102705,6762.96,MA
2105401,18031.68,MA
2106631,3332.88,MA
2106755,2652.48,MA
2107209,3149.28,MA
2108801,2671.92,MA
2109304,6367.68,MA
2112704,7473.6,MA
2100550,2894.4,MA
2101970,1404.0,MA
2102606,6458.400000000001,MA
2102903,3240.0,MA
2103158,6702.4800000000005,MA
2103174,5225.04,MA
2104305,2827.44,MA
2104677,9720.0,MA
2105658,1892.16,MA
2106201,2855.52,MA
2106326,7054.56,MA
2106375,5056.56,MA
2112407,15292.800000000001,MA
2112456,9406.800000000001,MA
2100402,5896.8,MA
2100477,2190.2400000000002,MA
2100873,1641.6000000000001,MA
2102002,2894.4,MA
2102036,557.2800000000001,MA
2102150,1144.8000000000002,MA
2102325,2453.76,MA
2104651,1205.28,MA
2105708,4114.8,MA
2105963,529.2,MA
2106359,648.0,MA
2107357,7128.000000000001,MA
2108108,1652.4,MA
2108504,779.7600000000001,MA
2109239,6261.84,MA
2109908,2222.6400000000003,MA
2110005,3261.6000000000004,MA
2110039,10534.320000000002,MA
2111029,3360.96,MA
2112274,883.44,MA
2113009,18722.88,MA
2114007,3607.2000000000003,MA
2100055,866.1600000000001,MA
2100600,1272.24,MA
2102358,656.6400000000001,MA
2103257,410.40000000000003,MA
2103752,375.84000000000003,MA
2104552,237.60000000000002,MA
2105302,131.76000000000002,MA
2105427,1138.3200000000002,MA
2105500,371.52000000000004,MA
2105989,401.76000000000005,MA
2107001,721.44,MA
2109551,317.52000000000004,MA
2110856,246.24,MA
2111532,723.6,MA
2111763,317.52000000000004,MA
2112852,1712.88,MA
2101202,6752.160000000001,MA
2101939,619.9200000000001,MA
2102077,1347.8400000000001,MA
2104008,952.5600000000001,MA
2105203,1298.16,MA
2105807,1790.64,MA
2105948,1816.5600000000002,MA
2105906,1067.04,MA
2106003,1036.8000000000002,MA
2107407,2138.4,MA
2108207,1056.24,MA
2108702,3888.0000000000005,MA
2108900,1853.2800000000002,MA
2110302,1401.8400000000001,MA
2111409,3108.2400000000002,MA
2111508,840.24,MA
2111631,650.1600000000001,MA
2111672,434.16,MA
2111722,2674.0800000000004,MA
2112233,695.5200000000001,MA
2100956,14256.000000000002,MA
2101608,3196.8,MA
2104081,2224.8,MA
2104099,2246.4,MA
2104800,3888.0000000000005,MA
2105351,896.4000000000001,MA
2105476,2138.4,MA
2105609,840.24,MA
2109759,1321.92,MA
2111805,1069.2,MA
2112308,19092.24,MA
2103802,2112.48,MA
2104206,1928.88,MA
2104404,1015.2,MA
2104503,1725.8400000000001,MA
2104602,1114.5600000000002,MA
2104628,1058.4,MA
2104701,3628.8,MA
2109106,354.24,MA
2110708,13234.320000000002,MA
2111250,1056.24,MA
2111748,820.8000000000001,MA
2100154,5762.88,MA
2100907,15968.880000000001,MA
2106300,9339.84,MA
2110104,6164.64,MA
2110237,5233.68,MA
2110609,6287.76,MA
2100808,2116.8,MA
2101731,6696.0,MA
2102101,7452.000000000001,MA
2102200,6065.280000000001,MA
2103208,11793.6,MA
2106409,2257.2000000000003,MA
2106672,3996.0000000000005,MA
2110401,7464.960000000001,MA
2112605,14878.080000000002,MA
2100436,952.5600000000001,MA
2102754,721.44,MA
2103307,8294.400000000001,MA
2103604,3525.1200000000003,MA
2108454,1473.1200000000001,MA
2112100,2376.0,MA
2100105,486.00000000000006,MA
2100303,1853.2800000000002,MA
2103406,747.36,MA
2103901,594.0,MA
2102309,1987.2,MA
2103000,2870.6400000000003,MA
2106607,15618.960000000001,MA
2107803,9579.6,MA
2111078,924.48,MA
2112209,6006.96,MA
2101509,853.2,MA
2103505,423.36,MA
2105450,2039.0400000000002,MA
2105922,604.8000000000001,MA
2106706,2695.6800000000003,MA
2107308,287.28000000000003,MA
2107704,341.28000000000003,MA
2107902,717.12,MA
2108009,533.52,MA
2110906,347.76000000000005,MA
2111102,516.24,MA
2111904,522.72,MA
2111953,406.08000000000004,MA
2102556,343.44,MA
2102804,6609.6,MA
2104057,565.9200000000001,MA
2109007,375.84000000000003,MA
2111052,557.2800000000001,MA
2111573,1073.52,MA
2100501,4242.240000000001,MA
2101400,7203.6,MA
2104073,6194.88,MA
2109502,7128.000000000001,MA
2112001,3244.32,MA
2101806,427.68,MA
2104107,1358.64,MA
2106102,2337.1200000000003,MA
2107258,4259.52,MA
2109700,1583.2800000000002,MA
2110658,289.44,MA
2110807,695.5200000000001,MA
2111607,2406.2400000000002,MA
3104502,2138.4,MG
3108206,252.72000000000003,MG
3109303,1561.68,MG
3109451,142.56,MG
3122470,207.36,MG
3126208,2527.2000000000003,MG
3144375,220.32000000000002,MG
3170404,3181.6800000000003,MG
3170479,777.6,MG
3108552,449.28000000000003,MG
3128600,1296.0,MG
3136306,16200.000000000002,MG
3137106,486.00000000000006,MG
3137536,874.8000000000001,MG
3147006,7452.000000000001,MG
3153400,1283.0400000000002,MG
3161700,1555.2,MG
3170750,1267.92,MG
3171006,302.40000000000003,MG
3108255,6480.0,MG
3116159,7128.000000000001,MG
3117836,3888.0000000000005,MG
3130051,3888.0000000000005,MG
3132107,324.0,MG
3135209,8834.400000000001,MG
3136959,138.24,MG
3139300,626.4000000000001,MG
3140852,1782.0000000000002,MG
3142254,1166.4,MG
3142700,820.8000000000001,MG
3149150,259.20000000000005,MG
3150570,4320.0,MG
3161106,2916.0,MG
3162450,432.0,MG
3170529,12636.0,MG
3115474,77.76,MG
3124302,993.6,MG
3127339,270.0,MG
3135050,24980.4,MG
3135100,972.0000000000001,MG
3139250,302.40000000000003,MG
3141009,354.24,MG
3142908,982.8000000000001,MG
3145059,648.0,MG
3146552,216.0,MG
3152204,328.32000000000005,MG
3154507,468.72,MG
3166956,278.64000000000004,MG
3101003,5184.0,MG
3106655,745.2,MG
3120870,691.2,MG
3122355,518.4000000000001,MG
3127073,1036.8000000000002,MG
3130655,2008.8000000000002,MG
3143450,1933.2,MG
3144656,5400.0,MG
3145372,237.60000000000002,MG
3155603,57024.00000000001,MG
3156502,691.2,MG
3157005,4665.6,MG
3157377,2743.2000000000003,MG
3160454,1911.6000000000001,MG
3162708,3974.4,MG
3168002,7776.000000000001,MG
3170651,1728.0,MG
3109402,3672.0000000000005,MG
3129608,777.6,MG
3135605,842.4000000000001,MG
3137304,1209.6000000000001,MG
3138104,972.0000000000001,MG
3151206,1756.0800000000002,MG
3154457,1814.4,MG
3157609,505.44000000000005,MG
3164209,3456.0,MG
3170800,2721.6000000000004,MG
3108602,5788.8,MG
