cod_ibge,uf,qnt_produzida
1102,RO,103076.290175
1101,RO,102256.04574999999
1201,AC,14710.3176
1202,AC,68741.89102
1302,AM,15933.063585
1303,AM,446089.07013999997
1304,AM,9373.402575
1401,RR,71550.71603499999
1504,PA,141569.10732
1501,PA,93492.295375
1505,PA,35868.034985
1503,PA,435160.23503
1506,PA,262253.52966500004
1502,PA,21310.29432
1602,AP,114632.14929499998
1701,TO,74101.91382999999
1702,TO,63861.23183499999
2102,MA,128535.15642749997
2104,MA,137488.21094999998
2103,MA,73730.9017325
2105,MA,31697.459939999997
2101,MA,305100.633655
2202,PI,179901.23120749998
2203,PI,15185.7967125
2201,PI,38576.65508999999
2204,PI,13933.2941025
2303,CE,680428.7767674999
2305,CE,38130.446605
2307,CE,92862.75505499999
2301,CE,67050.8878125
2302,CE,59422.10493749999
2304,CE,43698.48346249999
2306,CE,18364.544847499998
2401,RN,74691.72079749999
2402,RN,26652.5396225
2404,RN,269765.28094749997
2403,RN,9426.730169999999
2504,PB,247339.49461499995
2503,PB,124169.649665
2501,PB,59499.3674075
2502,PB,2741.400025
2605,PE,717174.34676
2601,PE,51916.83569
2604,PE,159733.9544625
2603,PE,234911.57822499995
2602,PE,63683.41368999999
2702,AL,54537.55740749999
2703,AL,335559.59037749993
2701,AL,17793.5822825
2803,SE,213782.24196249995
2802,SE,45314.61586249999
2904,BA,63122.5519525
2901,BA,54288.04924749999
2902,BA,97789.47796999998
2906,BA,161933.63116
2905,BA,778710.359965
2907,BA,206784.31778749998
2903,BA,175116.45149999997
3106,MG,77664.98178
3112,MG,333084.086465
3110,MG,358326.610465
3111,MG,94948.510325
3103,MG,26402.620655
3105,MG,467566.62717
3109,MG,189969.10924500003
3107,MG,1488806.8292999999
3108,MG,222311.78406499996
3102,MG,205503.39536500003
3101,MG,61179.034080000005
3104,MG,41883.24338
3202,ES,101731.287075
3204,ES,51166.7804
3203,ES,468247.89894
3201,ES,40312.955709999995
3305,RJ,247498.57183499998
3304,RJ,200444.06576000003
3303,RJ,92517.99612999998
3306,RJ,3103806.93214
3301,RJ,48711.392185000004
3302,RJ,197594.14794999998
3508,SP,180086.52291
3507,SP,958352.2307499999
3504,SP,322717.147685
3511,SP,155904.36917
3502,SP,589145.77
3512,SP,634588.0710749999
3505,SP,200469.40040999997
3503,SP,143207.56385
3513,SP,568477.76253
3506,SP,345856.66542000003
3515,SP,5447210.236265
3510,SP,107155.89627
3501,SP,320184.603945
3509,SP,95107.19736000002
3514,SP,66578.99957
4110,PR,565249.2227375001
4107,PR,35108.70851250001
4104,PR,39632.585125000005
4103,PR,292404.35612500005
4105,PR,88066.40430000001
4106,PR,141668.16448750003
4102,PR,25998.517475000008
4101,PR,56352.84366250002
4108,PR,37110.391325000004
4109,PR,17590.8620125
4204,SC,232594.3675125
4205,SC,171399.7285875
4202,SC,183149.79033750002
4206,SC,113364.88371250001
4201,SC,99349.87195
4203,SC,41513.94660000001
4306,RS,98075.84675
4305,RS,707451.5610750002
4304,RS,82129.964
4307,RS,98233.33695000003
4302,RS,147651.76370000004
4301,RS,153563.3757875
4303,RS,56321.992037500015
5001,MS,39210.861935
5003,MS,64090.097785000005
5004,MS,97920.00197000001
5002,MS,201097.30224500003
5102,MT,20530.82514
5101,MT,107189.61095500001
5105,MT,66748.309565
5103,MT,47637.982665
5104,MT,191101.96339500003
5203,GO,627963.92442
5205,GO,215489.73222000006
5204,GO,226279.06542500004
5201,GO,6805.372805000001
5202,GO,34080.39383
5301,DF,577138.027375
