cod_ibge,uf,qnt_produzida
11003,RO,18215.489980000002
11006,RO,23298.547139999995
11008,RO,2636.5818799999997
11002,RO,7691.12305
11004,RO,35717.0969
11007,RO,23208.574275
11001,RO,94564.9227
12001,AC,14710.3176
12004,AC,68741.89102
13004,AM,4706.613315
13006,AM,14210.960004999999
13013,AM,9373.402575
13009,AM,17051.57871
13007,AM,386033.73965999996
13010,AM,19082.605515
13003,AM,11226.45027
13005,AM,9710.18625
14001,RR,71550.71603499999
15011,PA,49370.847904999995
15002,PA,69490.18993
15015,PA,19226.9882
15007,PA,389514.49317499995
15010,PA,32768.80575
15016,PA,49027.50883
15005,PA,17089.9278
15008,PA,45645.741855
15022,PA,20339.76735
15019,PA,38767.160635
15017,PA,47948.16222
15014,PA,16641.046785
15013,PA,14857.322445
15020,PA,47143.814640000004
15001,PA,24002.105445
15018,PA,34452.56024
15021,PA,24574.55575
15009,PA,15702.47739
15006,PA,4220.36652
15012,PA,28869.653829999996
16004,AP,8571.51327
16003,AP,106060.63602499999
17001,TO,7987.591015
17002,TO,36467.03466
17008,TO,3720.8450399999997
17003,TO,6547.861289999999
17005,TO,14492.02278
17004,TO,8607.404084999998
17006,TO,60140.38679499999
21009,MA,68523.659345
21015,MA,38493.367565
21010,MA,36898.14564999999
21020,MA,17180.4443325
21018,MA,11812.65195
21011,MA,28280.013302499996
21017,MA,64055.01781749999
21008,MA,47256.1012325
21019,MA,14517.015607499998
21007,MA,12755.395849999999
21014,MA,14301.531287499998
21016,MA,8825.642329999999
21006,MA,17429.066454999996
21002,MA,257505.18005999998
21005,MA,22503.4032175
21012,MA,8552.742779999999
21003,MA,7662.9839225
22005,PI,6291.575079999999
22003,PI,161579.03895249998
22010,PI,4533.67668
22004,PI,8319.892124999998
22009,PI,10652.120032499999
22002,PI,27265.677572499997
22013,PI,13933.2941025
22001,PI,11310.977517499998
22006,PI,3710.72505
23016,CE,654940.4904199999
23022,CE,13360.027839999999
23032,CE,83967.8245925
23033,CE,8894.930462499999
23001,CE,11367.329502499999
23012,CE,13730.745929999997
23015,CE,12884.048495
23018,CE,13333.2695075
23005,CE,42018.910777499994
23017,CE,25488.286347499998
23026,CE,18364.544847499998
23010,CE,9471.38646
23008,CE,23335.9240525
23023,CE,24770.418764999995
23019,CE,30365.213955
23002,CE,13664.6475325
24004,RN,10409.7001725
24001,RN,58823.675209999994
24011,RN,14844.672274999999
24019,RN,10954.613234999999
24017,RN,46431.0231125
24012,RN,11807.8673475
24018,RN,212379.6446
24006,RN,5458.345414999999
24014,RN,9426.730169999999
25023,PB,12502.166332499997
25015,PB,3760.3431499999992
25022,PB,207309.02919499998
25002,PB,11088.93652
25017,PB,91053.46648
25012,PB,9023.051484999998
25016,PB,11399.049645
25018,PB,4317.3063225
25006,PB,4423.0992
25021,PB,15187.037164999998
25020,PB,12341.261922499998
25004,PB,19630.1608125
25003,PB,18216.930999999997
25008,PB,2741.400025
25001,PB,6140.239874999999
25013,PB,4616.4325825
26017,PE,627730.1015875
26003,PE,22153.241197499996
26015,PE,58244.5611
26016,PE,34528.172544999994
26004,PE,13342.838712499999
26012,PE,10260.491457499998
26008,PE,129879.45252249998
26011,PE,40971.2600375
26018,PE,54916.0726275
