cod_ibge,qnt_produzida,uf
1200203,1664.3999999999999,AC
1200336,1008.0,AC
1200351,1382.3999999999999,AC
1200393,462.0,AC
1200427,810.0,AC
1200302,7656.0,AC
1200328,928.8,AC
1200609,6864.0,AC
1200344,1486.8,AC
1200435,561.6,AC
1200500,3990.0,AC
1200013,2916.0,AC
1200138,4336.8,AC
1200179,17460.0,AC
1200385,14186.4,AC
1200807,9324.0,AC
1200401,16224.0,AC
1200450,17779.2,AC
1200054,1155.6,AC
1200104,4392.0,AC
1200252,6882.0,AC
1200708,5592.0,AC
2100204,132.0,MA
2100832,98.39999999999999,MA
2101301,363.59999999999997,MA
2101350,37.199999999999996,MA
2101905,544.8,MA
2102408,98.39999999999999,MA
2103109,115.19999999999999,MA
2103125,69.6,MA
2103703,54.0,MA
2104909,159.6,MA
2106805,452.4,MA
2109056,52.8,MA
2111789,410.4,MA
2101103,28.799999999999997,MA
2101251,28.799999999999997,MA
2102374,50.4,MA
2105104,19.2,MA
2107100,128.4,MA
2109205,40.8,MA
2109601,48.0,MA
2110203,36.0,MA
2101707,112.8,MA
2105005,57.599999999999994,MA
2108058,98.39999999999999,MA
2109403,14.399999999999999,MA
2110278,28.799999999999997,MA
2112506,818.4,MA
2100709,128.4,MA
2101004,462.0,MA
2101772,27.599999999999998,MA
2102507,356.4,MA
2103554,153.6,MA
2105153,32.4,MA
2106508,332.4,MA
2106904,201.6,MA
2107456,268.8,MA
2107605,614.4,MA
2108256,337.2,MA
2108306,702.0,MA
2108405,249.6,MA
2108603,673.1999999999999,MA
2109270,579.6,MA
2109809,361.2,MA
2110500,355.2,MA
2111003,194.4,MA
2111706,463.2,MA
2112803,91.2,MA
2112902,87.6,MA
2102705,231.6,MA
2105401,418.8,MA
2106631,193.2,MA
2106755,102.0,MA
2107209,63.599999999999994,MA
2108801,147.6,MA
2109304,123.6,MA
2112704,439.2,MA
2100550,46.8,MA
2101970,21.599999999999998,MA
2102606,150.0,MA
2102903,58.8,MA
2103158,300.0,MA
2103174,253.2,MA
2104305,52.8,MA
2104677,312.0,MA
2105658,105.6,MA
2106201,37.199999999999996,MA
2106326,75.6,MA
2106375,108.0,MA
2112407,1251.6,MA
2112456,594.0,MA
2100402,465.59999999999997,MA
2100477,60.0,MA
2100873,81.6,MA
2102002,5040.0,MA
2102036,34200.0,MA
2102150,531.6,MA
2102325,26400.0,MA
2104651,60.0,MA
2105708,11124.0,MA
2105963,1946.3999999999999,MA
2106359,7768.799999999999,MA
2107357,126.0,MA
2108108,2630.4,MA
2108504,42.0,MA
2109239,48.0,MA
2109908,61.199999999999996,MA
2110005,67200.0,MA
2110039,52.8,MA
2111029,117.6,MA
2112274,24.0,MA
2113009,1584.0,MA
2114007,264.0,MA
2100055,55200.0,MA
2100600,3264.0,MA
2102358,505.2,MA
2103257,2184.0,MA
2103752,600.0,MA
2104552,307.2,MA
2105302,116.39999999999999,MA
2105427,20343.6,MA
2105500,1989.6,MA
2105989,738.0,MA
2107001,474.0,MA
2109551,289.2,MA
2110856,1005.5999999999999,MA
2111532,625.1999999999999,MA
2111763,1670.3999999999999,MA
2112852,1622.3999999999999,MA
2101202,1837.2,MA
2101939,180.0,MA
2102077,561.6,MA
2104008,1065.6,MA
2105203,544.8,MA
2105807,962.4,MA
2105948,825.6,MA
2105906,229.2,MA
2106003,820.8,MA
2107407,303.59999999999997,MA
2108207,298.8,MA
2108702,591.6,MA
2108900,906.0,MA
2110302,1011.5999999999999,MA
2111409,998.4,MA
2111508,182.4,MA
2111631,867.6,MA
2111672,166.79999999999998,MA
2111722,270.0,MA
2112233,658.8,MA
2100956,3812.3999999999996,MA
2101608,4350.0,MA
2104081,10926.0,MA
2104099,2574.0,MA
2104800,31410.0,MA
2105351,916.8,MA
2105476,1524.0,MA
2105609,451.2,MA
2109759,672.0,MA
2111805,4208.4,MA
2112308,7981.2,MA
2103802,2376.0,MA
2104206,19552.8,MA
2104404,3240.0,MA
2104503,381.59999999999997,MA
2104602,3213.6,MA
2104628,6068.4,MA
2104701,1395.6,MA
2109106,2737.2,MA
2110708,6643.2,MA
2111250,1800.0,MA
2111748,11388.0,MA
2100154,537.6,MA
2100907,171.6,MA
2106300,4144.8,MA
2110104,1845.6,MA
2110237,358.8,MA
2110609,2712.0,MA
2100808,2400.0,MA
2101731,84.0,MA
2102101,5670.0,MA
2102200,2352.0,MA
2103208,726.0,MA
2106409,1380.0,MA
2106672,224.4,MA
2110401,348.0,MA
2112605,348.0,MA
2100436,373.2,MA
2102754,517.1999999999999,MA
2103307,1683.6,MA
2103604,972.0,MA
2108454,244.79999999999998,MA
2112100,640.8,MA
2100105,102.0,MA
2100303,508.79999999999995,MA
2103406,360.0,MA
2103901,126.0,MA
2102309,5810.4,MA
2103000,1440.0,MA
2106607,4896.0,MA
2107803,5880.0,MA
2111078,9842.4,MA
2112209,1080.0,MA
2101509,727.1999999999999,MA
2103505,12379.199999999999,MA
2105450,3225.6,MA
2105922,5178.0,MA
2106706,19394.399999999998,MA
2107308,2398.7999999999997,MA
2107704,2229.6,MA
2107902,8797.199999999999,MA
2108009,12573.6,MA
2110906,3039.6,MA
2111102,7030.8,MA
2111904,5847.599999999999,MA
2111953,595.1999999999999,MA
2102556,433.2,MA
2102804,111992.4,MA
2104057,7984.799999999999,MA
2109007,3159.6,MA
2111052,588.0,MA
2111573,2714.4,MA
2100501,103356.0,MA
2101400,812922.0,MA
2104073,10998.0,MA
2109502,136711.19999999998,MA
2112001,393060.0,MA
2101806,409.2,MA
2104107,75420.0,MA
2106102,113208.0,MA
2107258,15588.0,MA
2109700,155470.8,MA
2110658,25016.399999999998,MA
2110807,10810.8,MA
2111607,192501.6,MA
3104502,25776.0,MG
3108206,87840.0,MG
3109303,205254.0,MG
3109451,97920.0,MG
3122470,7200.0,MG
3126208,54360.0,MG
3144375,4824.0,MG
3170404,250200.0,MG
3170479,12996.0,MG
3108552,31680.0,MG
3128600,96120.0,MG
3136306,23760.0,MG
3137106,25596.0,MG
3137536,31500.0,MG
3147006,170352.0,MG
3153400,126468.0,MG
3161700,26467.2,MG
3170750,53340.0,MG
3171006,46860.0,MG
3108255,480.0,MG
3116159,4500.0,MG
3117836,432.0,MG
3130051,1652.3999999999999,MG
3132107,14500.8,MG
3135209,2268.0,MG
3136959,1164.0,MG
3139300,984.0,MG
3140852,2592.0,MG
