,cod_ibge,qnt_produzida,uf
0,1200179,5727.1488,AC
1,1200385,15274.9008,AC
2,1200401,6926.063999999999,AC
3,1200450,1352.1599999999999,AC
4,1200252,100.6608,AC
5,1200708,901.4399999999999,AC
6,2100477,1553.4815999999998,MA
7,2102002,51093.6192,MA
8,2102036,17438.356799999998,MA
9,2102325,151876.11359999998,MA
10,2105708,15144.192,MA
11,2106359,6490.3679999999995,MA
12,2110005,37968.652799999996,MA
13,2100055,327523.2,MA
14,2103257,18882.1632,MA
15,2105427,120635.208,MA
16,2105500,721.1519999999999,MA
17,2105989,2974.752,MA
18,2112852,17091.3024,MA
19,2101608,1201.92,MA
20,2104081,30348.48,MA
21,2104800,60129.0528,MA
22,2111805,679.0848,MA
23,2104206,1814.8991999999998,MA
24,2104602,10836.8112,MA
25,2104628,7812.48,MA
26,2110708,3542.6592,MA
27,2111748,2403.84,MA
28,2106300,14232.2352,MA
29,2110104,17713.296,MA
30,2110609,7567.5887999999995,MA
31,2100808,34855.68,MA
32,2102101,70763.04,MA
33,2102200,59044.32,MA
34,2103208,19746.0432,MA
35,2106409,37680.191999999995,MA
36,2106672,21409.2,MA
37,2110401,5731.656,MA
38,2112605,3861.1679999999997,MA
39,2100105,43269.119999999995,MA
40,2100303,868.3872,MA
41,2102309,18629.76,MA
42,2103000,22663.703999999998,MA
43,2106607,24038.399999999998,MA
44,2107803,52884.479999999996,MA
45,2111078,25349.995199999998,MA
46,2103505,29322.340799999998,MA
47,2105450,2249.0928,MA
48,2105922,2716.3392,MA
49,2106706,76796.6784,MA
50,2107308,3931.7808,MA
51,2107704,3055.8815999999997,MA
52,2107902,3975.3504,MA
53,2108009,46670.5536,MA
54,2110906,5362.0656,MA
55,2111102,20010.4656,MA
56,2111904,31657.0704,MA
57,2111953,1730.7648,MA
58,2102556,1884.0095999999999,MA
59,2102804,114544.47839999999,MA
60,2104057,8481.047999999999,MA
61,2109007,3173.0688,MA
62,2111052,18.0288,MA
63,2111573,7734.3552,MA
64,2100501,267586.4544,MA
65,2101400,936231.0767999999,MA
66,2104073,7061.28,MA
67,2109502,251207.2896,MA
68,2112001,953265.288,MA
69,2101806,17908.608,MA
70,2104107,80590.2384,MA
71,2106102,160864.9728,MA
72,2107258,9299.856,MA
73,2109700,216099.2064,MA
74,2110658,132484.6368,MA
75,2110807,21580.4736,MA
76,2111607,83293.056,MA
77,3104502,29747.52,MG
78,3108206,140624.63999999998,MG
79,3109303,462438.72,MG
80,3109451,117006.912,MG
81,3122470,8180.568,MG
82,3126208,108172.8,MG
83,3144375,2560.0896,MG
84,3170404,957329.28,MG
85,3170479,17361.7344,MG
86,3108552,43269.119999999995,MG
87,3128600,393163.056,MG
88,3136306,33398.352,MG
89,3137106,20913.408,MG
90,3137536,13521.6,MG
91,3147006,643303.6416,MG
92,3153400,81985.968,MG
93,3161700,6855.4511999999995,MG
94,3170750,15685.055999999999,MG
95,3171006,67608.0,MG
96,3116159,108172.8,MG
97,3132107,10760.1888,MG
98,3135209,1373.1936,MG
99,3140852,1081.728,MG
100,3170529,6490.3679999999995,MG
101,3109402,116874.70079999999,MG
102,3129608,6745.776,MG
103,3135605,3079.92,MG
104,3138104,1856.9664,MG
105,3151206,2343.744,MG
106,3154457,25781.183999999997,MG
107,3164209,21787.804799999998,MG
108,3170800,7193.4911999999995,MG
109,3171030,473.256,MG
110,3121001,234.37439999999998,MG
111,3109808,46814.784,MG
112,3112604,191488.392,MG
113,3129103,7121.376,MG
114,3131406,52504.3728,MG
115,3134202,133833.792,MG
116,3159803,16063.6608,MG
117,3103504,169921.44,MG
118,3103751,9116.5632,MG
119,3111804,108773.76,MG
120,3115003,10078.0992,MG
121,3115805,60385.9632,MG
122,3130705,112725.072,MG
123,3142809,190113.696,MG
124,3152808,96003.36,MG
125,3169604,210936.96,MG
126,3170206,326772.0,MG
127,3100104,20507.76,MG
128,3119302,357691.392,MG
129,3120706,17668.224,MG
130,3123502,3515.616,MG
131,3124807,25961.471999999998,MG
132,3127909,4206.72,MG
133,3131604,23369.832,MG
134,3143104,59495.04,MG
135,3148103,161297.664,MG
136,3156403,51922.943999999996,MG
137,3166808,81129.59999999999,MG
138,3114303,13269.1968,MG
139,3128907,32226.48,MG
140,3137502,55889.28,MG
141,3148004,140624.63999999998,MG
142,3155504,48515.5008,MG
143,3162104,6760.8,MG
144,3168903,4957.92,MG
145,3111101,27268.559999999998,MG
146,3116902,4056.48,MG
147,3127008,1098.2544,MG
148,3127107,115411.36319999999,MG
149,3133402,6855.4511999999995,MG
150,3134400,11268.0,MG
151,3150703,61658.496,MG
152,3151602,72070.128,MG
153,3161304,6760.8,MG
154,3170438,1167.3648,MG
155,3100708,50480.64,MG
156,3111408,124398.72,MG
157,3117306,207331.19999999998,MG
158,3118205,61117.632,MG
159,3121258,2271.6288,MG
160,3170107,498045.6,MG
161,3171105,12184.464,MG
162,3104007,67608.0,MG
163,3111507,18497.5488,MG
164,3129509,270432.0,MG
165,3145000,159014.016,MG
166,3149200,64272.672,MG
167,3149804,251952.47999999998,MG
168,3153004,9735.552,MG
169,3156908,239332.32,MG
170,3157708,79777.44,MG
171,3168101,18930.239999999998,MG
172,3100203,2798.9712,MG
173,3107000,585.936,MG
174,3143500,26975.592,MG
175,3146404,124.69919999999999,MG
176,3152006,7026.7248,MG
177,3169356,5994.576,MG
178,3119104,1156.848,MG
179,3125705,1054.6848,MG
180,3143609,1933.5888,MG
181,3153202,318.5088,MG
182,3103900,495.792,MG
183,3107406,42187.392,MG
184,3123205,5769.215999999999,MG
185,3124708,2826.0144,MG
186,3135308,991.584,MG
187,3137205,2509.008,MG
188,3138302,148.7376,MG
189,3138807,21702.167999999998,MG
190,3140506,14648.4,MG
191,3153707,270.432,MG
192,3105004,2980.7616,MG
193,3131000,2207.0256,MG
194,3141108,2253.6,MG
195,3146909,1983.168,MG
196,3167202,450.71999999999997,MG
197,3145802,270.432,MG
198,3132206,686.5968,MG
199,3114907,908.952,MG
200,3120409,1735.272,MG
201,3105103,60847.2,MG
202,3119807,540.864,MG
203,3130309,55946.3712,MG
204,3141306,34651.3536,MG
205,3151503,51111.648,MG
206,3164308,15955.488,MG
207,3168200,2253.6,MG
208,3170602,3082.9248,MG
209,3116605,2570.6064,MG
210,3104205,31730.688,MG
211,3119955,4687.488,MG
212,3126109,97355.52,MG
213,3133501,4795.6608,MG
214,3146503,13963.3056,MG
215,3150505,29552.208,MG
