cod_ibge,qnt_produzida,uf
3109451,21600.0,MG
3147006,4492.8,MG
3153400,2592.0,MG
3170750,1105.92,MG
3109402,252.72000000000003,MG
3130705,4860.0,MG
3170206,1620.0,MG
3131604,311.04,MG
3148103,13348.800000000001,MG
3155504,21610.800000000003,MG
3162104,4827.6,MG
3170107,33609.600000000006,MG
3111507,1944.0000000000002,MG
3129509,29376.000000000004,MG
3145000,11469.6,MG
3149200,678.24,MG
3149804,24649.920000000002,MG
3156908,33955.200000000004,MG
3168101,6480.0,MG
3114907,777.6,MG
3105103,794.8800000000001,MG
3130309,1231.2,MG
3107604,1080.0,MG
3147907,388.8,MG
3145109,2592.0,MG
3163904,3920.4,MG
3101607,3888.0000000000005,MG
3139003,324.0,MG
3147204,252.72000000000003,MG
3107109,648.0,MG
3118700,1296.0,MG
3160801,1296.0,MG
3169307,49248.0,MG
3169406,4393.4400000000005,MG
3102605,1607.0400000000002,MG
3162005,6350.400000000001,MG
3114105,1555.2,MG
3117702,10368.0,MG
3102803,5832.0,MG
3120805,1166.4,MG
3141900,9396.0,MG
3165305,5832.0,MG
3114600,7776.000000000001,MG
3130804,1360.8000000000002,MG
3134509,5832.0,MG
3138203,648.0,MG
3138708,5184.0,MG
3144607,1166.4,MG
3137403,8035.200000000001,MG
3139102,37584.0,MG
3150307,777.6,MG
3162500,36288.0,MG
3113206,9072.0,MG
3129400,421.20000000000005,MG
3154408,518.4000000000001,MG
5107040,622.08,MT
5007109,1073.52,MS
5006200,972.0000000000001,MS
5000609,3888.0000000000005,MS
5000906,4320.0,MS
5001243,14256.000000000002,MS
5002407,1814.4,MS
5003702,2592.0,MS
5004502,60.480000000000004,MS
5005152,177.12,MS
5005251,6350.400000000001,MS
5005400,254.88000000000002,MS
5006606,2160.0,MS
5004601,1278.72,MS
5005681,51.84,MS
5005707,213.84,MS
5007703,6912.0,MS
4100707,442.8,PR
4103370,1566.0,PR
4103479,648.0,PR
4115101,1252.8000000000002,PR
4118857,155.52,PR
4105508,777.6,PR
4113007,2332.8,PR
4100459,1473.1200000000001,PR
4103008,4559.76,PR
4103909,7225.200000000001,PR
4108601,302.40000000000003,PR
4112207,4536.0,PR
4112959,2268.0,PR
4116109,177.12,PR
4116802,20412.0,PR
4120655,388.8,PR
4121356,157.68,PR
4128005,2592.0,PR
4101705,6901.200000000001,PR
4102505,8812.800000000001,PR
4104303,76302.0,PR
4106555,2741.04,PR
4107504,5616.0,PR
4107553,20736.0,PR
4110805,32140.800000000003,PR
4113734,136287.36000000002,PR
4114005,54432.0,PR
4118808,55464.48,PR
4121109,1296.0,PR
4122503,86400.0,PR
4127205,1555.2,PR
4102109,155.52,PR
4110003,41.040000000000006,PR
4111902,712.8000000000001,PR
4114104,82.08000000000001,PR
4100806,1965.6000000000001,PR
4102802,5961.6,PR
4108007,388.8,PR
4120333,62.64,PR
4126504,6976.8,PR
4107306,129.60000000000002,PR
4107900,518.4000000000001,PR
4111100,352.08000000000004,PR
4125308,125.28,PR
4114203,2592.0,PR
4114807,33566.4,PR
4115200,2764.8,PR
4117503,596.1600000000001,PR
4126256,8946.720000000001,PR
4101408,24570.0,PR
4101507,28728.000000000004,PR
4103503,19440.0,PR
4103800,20865.600000000002,PR
4112108,5875.200000000001,PR
4114906,54000.0,PR
4115754,22550.4,PR
4117297,8553.6,PR
4122701,1965.6000000000001,PR
4103701,8884.08,PR
4109807,9594.720000000001,PR
4113700,128790.00000000001,PR
4119657,3369.6000000000004,PR
4122404,63093.600000000006,PR
4126678,12744.0,PR
4103206,8078.400000000001,PR
4103305,45567.36,PR
4106852,5628.96,PR
4107603,43390.08,PR
4113106,6480.0,PR
4115507,6264.0,PR
4122107,15552.000000000002,PR
4101655,76995.36,PR
4101853,58924.8,PR
4104402,38858.4,PR
4108551,3380.4,PR
4108700,13633.92,PR
4111506,59421.600000000006,PR
4112504,48090.240000000005,PR
4113429,20744.640000000003,PR
4113759,10551.6,PR
4114500,66398.40000000001,PR
4117271,37309.68,PR
4122172,34765.200000000004,PR
4122651,4410.72,PR
4125001,8890.560000000001,PR
4125803,18792.0,PR
4101903,53568.0,PR
4112702,18835.2,PR
4117214,23369.04,PR
4121307,1866.2400000000002,PR
4123204,29628.72,PR
4124707,76962.96,PR
4126009,42506.64,PR
4128401,4054.32,PR
4101101,19003.68,PR
4102406,15893.28,PR
4106001,93877.92000000001,PR
4106407,50457.600000000006,PR
4113403,19649.52,PR
4116604,8218.800000000001,PR
4117008,60445.44,PR
4123105,3399.84,PR
4123907,14424.480000000001,PR
4124301,34099.920000000006,PR
4126405,4626.72,PR
4102703,12052.800000000001,PR
4103602,18532.800000000003,PR
4111803,12830.400000000001,PR
4112900,8143.200000000001,PR
4121802,691.2,PR
4124103,51321.600000000006,PR
4106100,15413.76,PR
4107009,4320.0,PR
4107751,781.9200000000001,PR
4109708,19116.0,PR
4111704,4227.12,PR
4112306,3412.8,PR
4119202,12659.76,PR
4126207,26470.800000000003,PR
4104709,604.8000000000001,PR
4109005,21924.0,PR
4112801,4212.0,PR
4122909,7365.6,PR
4124004,17236.800000000003,PR
4125407,24192.0,PR
4126603,10530.0,PR
4127809,2039.0400000000002,PR
4128500,21384.0,PR
4110078,6480.0,PR
4117305,63936.00000000001,PR
4121703,32572.800000000003,PR
4127106,1166.4,PR
4127502,275724.0,PR
4128534,41040.0,PR
4101606,142560.0,PR
4112009,72316.8,PR
4119400,67932.0,PR
4126306,15120.000000000002,PR
4104659,63406.8,PR
4104907,202888.80000000002,PR
4117701,63406.8,PR
4119905,101450.88,PR
4102000,10584.0,PR
4107157,15422.400000000001,PR
4107538,2224.8,PR
4108205,1125.3600000000001,PR
4108809,1477.44,PR
4110656,3149.28,PR
4112751,8030.88,PR
4114609,14040.000000000002,PR
4115358,7776.000000000001,PR
