cod_ibge,uf,qnt_produzida
1100023,RO,18215.489980000002
1100049,RO,14162.286159999998
1100056,RO,2636.5818799999997
1100106,RO,7691.12305
1100114,RO,8434.997065
1100122,RO,21473.19601
1100155,RO,5808.903824999999
1100189,RO,6079.805729999999
1100205,RO,89964.99852
1100288,RO,9136.26098
1100304,RO,17128.768545
1100809,RO,4599.92418
1200203,AC,14710.3176
1200401,AC,68741.89102
1301001,AM,4706.613315
1301209,AM,14210.960004999999
1301704,AM,9373.402575
1301902,AM,17051.57871
1302504,AM,16325.076504999999
1302603,AM,369708.66315499996
1303403,AM,19082.605515
1304062,AM,11226.45027
1304203,AM,9710.18625
1400100,RR,71550.71603499999
1500107,PA,26293.545514999998
1500404,PA,9405.36015
1500602,PA,19226.9882
1500800,PA,88565.09285
1501303,PA,21195.738705
1501402,PA,246879.64169999998
1501501,PA,10616.470299999999
1501709,PA,21325.04397
1501782,PA,11242.019344999999
1501808,PA,17089.9278
1502103,PA,23077.302389999997
1502202,PA,11443.761779999999
1502400,PA,33705.736295
1502707,PA,7885.3267749999995
1502772,PA,2911.25314
1502939,PA,10030.745309999998
1503606,PA,16641.046785
1503705,PA,8757.850514999998
1503804,PA,9917.828545
1504059,PA,4980.301265
1504208,PA,47143.814640000004
1504422,PA,22257.549619999998
1504802,PA,9552.692764999998
1505106,PA,8599.537605000001
1505304,PA,12278.428085
1505437,PA,5544.393435
1505502,PA,18984.11063
1505536,PA,35855.907495
1506138,PA,14147.53651
1506161,PA,2984.01808
1506187,PA,8725.56517
1506203,PA,6746.162139999999
1506500,PA,11940.005559999998
1506708,PA,12454.440574999999
1506807,PA,50532.137015
1507300,PA,22244.43882
1507607,PA,9877.02118
1507904,PA,4220.36652
1507953,PA,18282.027289999998
1507979,PA,3124.1397549999997
1508001,PA,10587.62654
1508084,PA,6663.7279849999995
1508100,PA,19109.810425
1508126,PA,10207.741109999999
1508209,PA,8956.31525
1508407,PA,7443.001159999999
1600279,AP,8571.51327
1600303,AP,85606.47694499999
1600600,AP,20454.159079999998
1700301,TO,1155.225365
1702109,TO,30522.761824999998
1702554,TO,3092.5099499999997
1705508,TO,5944.272835
1707009,TO,3720.8450399999997
1709302,TO,4327.055654999999
1709500,TO,14492.02278
1713304,TO,2220.8056349999997
1716109,TO,8607.404084999998
1718204,TO,8787.18593
1721000,TO,51353.20086499999
1721208,TO,3739.8556999999996
2100055,MA,20163.200972499995
2100436,MA,4973.505694999999
2101202,MA,18623.445004999998
2101400,MA,17180.4443325
2101509,MA,3371.5498949999997
2101608,MA,15752.860712499998
2102309,MA,4251.739547499999
2102325,MA,13041.5859625
2102556,MA,2574.8249749999995
2102903,MA,4269.8147125
2103000,MA,29444.620992499997
2103208,MA,14301.531287499998
2103307,MA,21861.73486
2103406,MA,8825.642329999999
2103604,MA,11658.127009999998
2103752,MA,2290.0525225
2104057,MA,7637.1116274999995
2104800,MA,12527.152589999998
2105302,MA,46070.405849999996
2105401,MA,12268.606847499997
2105708,MA,9030.3169925
2106326,MA,3858.3388974999993
2106755,MA,5160.4596075
2107506,MA,22197.8974875
2107704,MA,3822.5429824999997
2108207,MA,6938.2052475
2108603,MA,14913.7832
2109007,MA,4305.079005
2109106,MA,8552.742779999999
2109452,MA,5597.276095
2109601,MA,7662.9839225
2109809,MA,7589.620017499999
2109908,MA,15935.738852499999
2111102,MA,4618.5590725
2111201,MA,31958.4865875
2111300,MA,197751.51989
2111508,MA,7398.413124999999
2112209,MA,30358.657277499995
2112233,MA,3938.0822724999994
2112456,MA,4627.24224
2114007,MA,9248.459425
2200202,PI,3105.5614374999996
2200400,PI,7208.9783075
2201903,PI,4533.67668
2202208,PI,8319.892124999998
2203909,PI,10652.120032499999
2207702,PI,27265.677572499997
2208007,PI,13933.2941025
2208403,PI,11310.977517499998
2208809,PI,3186.0136424999996
2211001,PI,154370.060645
2211308,PI,3710.72505
2301000,CE,14456.765057499999
2301109,CE,13360.027839999999
2301901,CE,10926.968864999999
2302503,CE,8894.930462499999
2302602,CE,11367.329502499999
2302800,CE,13730.745929999997
2303501,CE,12884.048495
2303709,CE,65375.03648499999
2304103,CE,13333.2695075
2304202,CE,23730.3879475
2304285,CE,9752.6147625
2304350,CE,4373.4811
2304400,CE,479061.16063249996
2305233,CE,12349.236259999998
2305506,CE,18364.544847499998
2306256,CE,6851.0191575
2306306,CE,9471.38646
2306405,CE,23335.9240525
2307304,CE,49310.46777999999
2307601,CE,10673.562139999998
2307650,CE,40932.451595
2307700,CE,23334.151977499998
2309607,CE,13139.050087499998
2309706,CE,15177.290752499997
2311306,CE,15753.5695425
2311405,CE,14611.644412499998
2311801,CE,14096.856624999999
2312908,CE,37645.4296775
2313401,CE,13664.6475325
2400208,RN,10409.7001725
2401107,RN,4989.4543699999995
2402006,RN,12178.762644999999
2402204,RN,6169.301904999999
