cod_ibge,qnt_produzida,uf
1200179,3812,AC
1200385,10167,AC
1200401,4610,AC
1200450,900,AC
1200252,67,AC
1200708,600,AC
2100477,1034,MA
2102002,34008,MA
2102036,11607,MA
2102325,101089,MA
2105708,10080,MA
2106359,4320,MA
2110005,25272,MA
2100055,218000,MA
2103257,12568,MA
2105427,80295,MA
2105500,480,MA
2105989,1980,MA
2112852,11376,MA
2101608,800,MA
2104081,20200,MA
2104800,40022,MA
2111805,452,MA
2104206,1208,MA
2104602,7213,MA
2104628,5200,MA
2110708,2358,MA
2111748,1600,MA
2106300,9473,MA
2110104,11790,MA
2110609,5037,MA
2100808,23200,MA
2102101,47100,MA
2102200,39300,MA
2103208,13143,MA
2106409,25080,MA
2106672,14250,MA
2110401,3815,MA
2112605,2570,MA
2100105,28800,MA
2100303,578,MA
2102309,12400,MA
2103000,15085,MA
2106607,16000,MA
2107803,35200,MA
2111078,16873,MA
2103505,19517,MA
2105450,1497,MA
2105922,1808,MA
2106706,51116,MA
2107308,2617,MA
2107704,2034,MA
2107902,2646,MA
2108009,31064,MA
2110906,3569,MA
2111102,13319,MA
2111904,21071,MA
2111953,1152,MA
2102556,1254,MA
2102804,76241,MA
2104057,5645,MA
2109007,2112,MA
2111052,12,MA
2111573,5148,MA
2100501,178106,MA
2101400,623157,MA
2104073,4700,MA
2109502,167204,MA
2112001,634495,MA
2101806,11920,MA
2104107,53641,MA
2106102,107072,MA
2107258,6190,MA
2109700,143836,MA
2110658,88182,MA
2110807,14364,MA
2111607,55440,MA
3104502,19800,MG
3108206,93600,MG
3109303,307800,MG
3109451,77880,MG
3122470,5445,MG
3126208,72000,MG
3144375,1704,MG
3170404,637200,MG
3170479,11556,MG
3108552,28800,MG
3128600,261690,MG
3136306,22230,MG
3137106,13920,MG
3137536,9000,MG
3147006,428184,MG
3153400,54570,MG
3161700,4563,MG
3170750,10440,MG
3171006,45000,MG
3116159,72000,MG
3132107,7162,MG
3135209,914,MG
3140852,720,MG
3170529,4320,MG
3109402,77792,MG
3129608,4490,MG
3135605,2050,MG
3138104,1236,MG
3151206,1560,MG
3154457,17160,MG
3164209,14502,MG
3170800,4788,MG
3171030,315,MG
3121001,156,MG
3109808,31160,MG
3112604,127455,MG
3129103,4740,MG
3131406,34947,MG
3134202,89080,MG
3159803,10692,MG
3103504,113100,MG
3103751,6068,MG
3111804,72400,MG
3115003,6708,MG
3115805,40193,MG
3130705,75030,MG
3142809,126540,MG
3152808,63900,MG
3169604,140400,MG
3170206,217500,MG
3100104,13650,MG
3119302,238080,MG
3120706,11760,MG
3123502,2340,MG
3124807,17280,MG
3127909,2800,MG
3131604,15555,MG
3143104,39600,MG
3148103,107360,MG
3156403,34560,MG
3166808,54000,MG
3114303,8832,MG
3128907,21450,MG
3137502,37200,MG
3148004,93600,MG
3155504,32292,MG
3162104,4500,MG
3168903,3300,MG
3111101,18150,MG
3116902,2700,MG
3127008,731,MG
3127107,76818,MG
3133402,4563,MG
3134400,7500,MG
